Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AL
35750,AL,6.76,22834,10/23/2015,,
36523,AL,25.0,200000.0,12/11/2010,,
35223,AL,5.64,49785.0,04/12/2010,,
35640,AL,10.0,,09/13/2010,,
35660,AL,3.200000048,,08/23/2010,,
35633,AL,0.920000017,,07/22/2010,,
35033,AL,5.5,,06/28/2010,,
35033,AL,4.0,,06/28/2010,,
35811,AL,3.150000095,,09/14/2009,,
35958,AL,4.2,16800,06/10/2009,,
35958,AL,4.2,12000,05/05/2009,,
36832,AL,5.76,59997,09/19/2002,,
35582,AL,1,7500,03/15/2008,,
36258,AL,8,66917,11/01/2009,,
36849,AL,1.6,14320,11/03/2009,,
36849,AL,1.05,7917,10/14/2009,,
35610,AL,3,22500,11/01/2009,,
36750,AL,1,7500,02/15/2010,,
35674,AL,2,15000,08/01/2008,,
35055,AL,4,30000,03/24/2010,,
36879,AL,4.56,45959,12/01/2009,,
36265,AL,1,7500,02/15/2010,,
35603,AL,3,22500,05/15/2008,,
36801,AL,1.84,14444,05/29/2009,,
35805,AL,5,37500,10/01/2008,,
36037,AL,3,23000,08/14/2008,,
35550,AL,0.38,3889,01/01/2010,,
36801,AL,14.72,115552,05/30/2009,,
35622,AL,1.5,11250,11/15/2009,,
36860,AL,6,50000,07/15/2009,,
35630,AL,3,22500,08/01/2009,,
