Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AR
72701,AR,4.7,31000.0,09/28/2011,,
72207,AR,8.2,27000.0,07/01/2010,,
72701,AR,4.7,27000.0,10/13/1997,,
72703,AR,321.6,,02/01/2013,,
72205,AR,1800.0,,02/01/2013,,
72114,AR,1244.0,,02/20/2013,,
72701,AR,4.7,27000.0,09/23/2011,,
71901,AR,14.1,80000.0,02/14/2011,,
72202,AR,23.92,158000.0,08/26/2011,,
72834,AR,10.75,64790.0,07/25/2011,,
72209,AR,2.7,14349.87,04/04/2011,,
72774,AR,7.74,34668.02,04/07/2011,,
72701,AR,2.3,13378.0,03/16/2011,,
72116,AR,9.25,48248.11,04/08/2011,,
72821,AR,5.6,25371.18,04/29/2011,,
72207,AR,5.2,35175.0,04/12/2011,,
72631,AR,2.2,17210.34,03/07/2011,,
72201,AR,65.0,,11/17/2004,,
72051,AR,2.4,16000.0,07/01/2009,,
72051,AR,0.8,4000.0,10/01/2009,,
72051,AR,1.8,12000.0,08/01/2006,,
72101,AR,8.5,28505.81,03/29/2011,,
72704,AR,4.56,21140.69,12/20/2010,,
72002,AR,1.84,13900.0,03/23/2011,,
71909,AR,3.0,33862.0,02/28/2011,,
72335,AR,1.84,12285.0,03/15/2011,,
72735,AR,4.0,18290.23,03/21/2011,,
72032,AR,1.15,9200.0,03/16/2011,,
72211,AR,2.43,16437.5,03/23/2011,,
72150,AR,4.0,14674.91,02/09/2011,,
71730,AR,11.28,73726.0,03/24/2011,,
72632,AR,0.46,4959.0,02/01/2011,,
71667,AR,4.75,34022.92,03/25/2011,,
72956,AR,11.0,57771.0,03/07/2011,,
72150,AR,2.85,11776.24,12/08/2010,,
72550,AR,16.56,84959.0,03/11/2011,,
72641,AR,2.9,17236.0,07/28/2010,,
72616,AR,5.98,39417.78,02/14/2011,,
71953,AR,6.16,40086.36,01/27/2011,,
71958,AR,15.1,116699.91,03/04/2011,,
72701,AR,13.8,99494.75,03/16/2011,,
72210,AR,4.7,38832.0,01/14/2011,,
72936,AR,8.9,61000.0,03/16/2011,,
71964,AR,7.98,41147.0,03/10/2011,,
72701,AR,13.0,58016.0,06/25/2010,,
72701,AR,2.68,16328.0,12/21/2010,,
71909,AR,3.52,23615.0,12/08/2010,,
72959,AR,4.7,44756.0,01/11/2011,,
71909,AR,3.52,27230,12/09/2010,,
72712,AR,1.8,15540.0,09/27/2010,,
71913,AR,14.0,80000.0,02/22/2011,,
