Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AZ
85048,AZ,9,46061.19352,03/10/2014,,
85201,AZ,7.92,40506.65221,01/11/2013,,
85024,AZ,7.425,51128.75533,03/02/2011,,
85234,AZ,9.18,40172.24862,09/12/2014,,
85268,AZ,3,15562.94976,08/26/2013,,
85043,AZ,6.5,28478.29094,03/31/2014,,
85286,AZ,5.75,26284.3608,12/31/2013,,
85204,AZ,10.29,46816.60174,09/17/2013,,
85213,AZ,12.24,36415.6352,04/22/2014,,
85206,AZ,5.04,10138.41305,06/21/2013,,
85326,AZ,3.22,16670.31707,12/20/2010,,
85395,AZ,6.45,35932.35736,06/03/2010,,
85215,AZ,7.92,40714.57448,07/20/2012,,
85248,AZ,13.44,41006.45487,03/18/2013,,
85298,AZ,11.5,54438.46441,08/25/2011,,
85297,AZ,11.25,50750.4097,11/13/2014,,
85120,AZ,7.105,34202.40107,07/08/2013,,
85297,AZ,9.555,26234.01032,11/26/2013,,
85622,AZ,1.76,14654.45132,04/06/2009,,
85310,AZ,7.755,62626.66806,06/10/2011,,
85212,AZ,8.415,19810.30222,12/01/2014,,
85283,AZ,8,35150.11136,04/24/2014,,
85375,AZ,3.44,24988.73364,04/15/2010,,
85375,AZ,6.02,31347.33137,05/18/2011,,
85202,AZ,8.25,24000.0,04/16/2014,,
85749,AZ,7.56,48809.51101,08/26/2009,,
85718,AZ,5.1,36475.84579,03/19/2008,,
85234,AZ,8.25,37712.34376,12/16/2013,,
85284,AZ,3.36,28073.51421,03/31/2011,,
85750,AZ,8.085,25654.85097,06/17/2014,,
85338,AZ,6.93,59731.23443,12/28/2010,,
85044,AZ,6.38,32280.88742,03/28/2013,,
85396,AZ,6.48,38905.99052,09/20/2010,,
85048,AZ,6,30310.30688,02/19/2014,,
86301,AZ,3.6,31456.88541,02/18/2010,,
85392,AZ,4.83,35125.65464,09/09/2014,,
85208,AZ,10.2,44669.42334,08/28/2014,,
85086,AZ,14.1,115191.3685,09/14/2011,,
85282,AZ,8.085,38919.97363,07/09/2013,,
85296,AZ,21.42,93971.32887,10/24/2014,,
85226,AZ,5.06,31070.27707,07/26/2011,,
85249,AZ,7.848,38971.79531,01/18/2013,,
85120,AZ,7.5,32953.2294,04/16/2014,,
85250,AZ,5.39,16434.96445,04/25/2013,,
85208,AZ,5.75,25362.67388,11/10/2014,,
85615,AZ,2.16,34344.4523,12/17/2002,,
85260,AZ,22.56,127102.1302,06/27/2011,,
85331,AZ,5.46,46837.87301,01/12/2011,,
85140,AZ,6.16,31363.93545,10/12/2012,,
85206,AZ,12,52641.17024,05/19/2014,,
85251,AZ,5.76,27738.6981,06/11/2013,,
85022,AZ,8.19,54247.38412,08/14/2009,,
85140,AZ,5.88,28369.43772,11/12/2013,,
86442,AZ,9,28708.31814,12/01/2014,,
85338,AZ,7.56,65161.34665,12/21/2010,,
85140,AZ,2.5,11343.67773,02/10/2014,,
85048,AZ,7,31056.46879,02/27/2014,,
85120,AZ,5.76,29220.07019,02/15/2013,,
85119,AZ,6.54,34118.01795,04/30/2013,,
85018,AZ,11.27,54263.69931,10/31/2013,,
85044,AZ,4.6,17401.16845,03/06/2013,,
85226,AZ,4,20312.35086,12/04/2013,,
85374,AZ,4.08,32354.24354,02/23/2009,,
85207,AZ,10.5,34525.31575,11/12/2014,,
85381,AZ,11.22,49223.07703,10/07/2014,,
85304,AZ,7.5,74605.81889,11/19/2009,,
85008,AZ,5.232,25293.93561,12/19/2013,,
85086,AZ,7.38,43278.50625,09/03/2010,,
85209,AZ,11.66,58996.1046,03/06/2013,,
85257,AZ,6.72,32349.06899,07/10/2013,,
86001,AZ,6.56,37122.03288,11/15/2010,,
85254,AZ,4.2,30743.65809,01/26/2010,,
85268,AZ,5.04,26453.8856,08/12/2011,,
85346,AZ,0.05,400.0,02/12/2014,,
85607,AZ,101.0,,07/10/2012,,
86004,AZ,588.0,,06/30/2012,,
86004,AZ,470.0,,06/01/2012,,
86321,AZ,18000.0,,12/30/2011,,
85004,AZ,227.01,,08/04/2011,,
85004,AZ,78.96,,05/20/2011,,
85365,AZ,9.36,46467.73,12/28/2010,,
85351,AZ,0.48,,03/01/2010,,
85367,AZ,5.52,39993.81,10/12/2009,,
85367,AZ,7.776,46001.55,07/13/2009,,
85365,AZ,1.6,10857.92,07/06/2009,,
85365,AZ,1.6,15586.4,07/06/2009,,
85365,AZ,6.2,45648.38,06/23/2009,,
85541,AZ,5.8,38249.67,06/22/2009,,
85027,AZ,8.4,63000.0,06/15/2009,,
85367,AZ,8.28,51881.93,06/11/2009,,
85367,AZ,5.06,34750.0,06/11/2009,,
85937,AZ,4.6,43667.0,06/10/2009,,
85937,AZ,3.888,38761.0,06/02/2009,,
85365,AZ,8.112,59097.0,05/27/2009,,
85541,AZ,4.8,34299.15,05/07/2009,,
85085,AZ,4.6,,04/15/2009,,
85364,AZ,5.52,38150.0,04/02/2009,,
85364,AZ,6.48,45690.15,04/02/2009,,
85365,AZ,6.272,44000.0,02/23/2009,,
85367,AZ,8.424,58300.0,02/23/2009,,
85122,AZ,6.048,38319.05,02/20/2009,,
85367,AZ,4.59,32679.88,02/19/2009,,
85333,AZ,8.064,56300.0,02/18/2009,,
85364,AZ,4.6,34400.0,01/12/2009,,
86047,AZ,1.8,,09/17/2008,,
85355,AZ,4.0,47000.0,08/29/2008,,
