Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=CT
06475,CT,7.44,42099,06/21/2012,,
06786,CT,7.59,31574.0,03/17/2015,,
06489,CT,45.0,139050.0,09/24/2014,,
06410,CT,7.0,33070.0,09/22/2014,,
06770,CT,3.0,14130.0,09/22/2014,,
06088,CT,250.0,750000.0,09/17/2014,,
06088,CT,250.0,750000.0,09/17/2014,,
06001,CT,7.0,32970.0,09/17/2014,,
06052,CT,11.0,51810.0,09/17/2014,,
06812,CT,9.63,34650.0,09/17/2014,,
06712,CT,4.68,18252.0,09/17/2014,,
06905,CT,4.0,14200.0,09/17/2014,,
06117,CT,9.0,31310.0,09/17/2014,,
06518,CT,4.5,18210.0,09/17/2014,,
06517,CT,8.0,29340.0,09/17/2014,,
06517,CT,6.5,22620.0,09/17/2014,,
06410,CT,10.5,36275.0,09/17/2014,,
06033,CT,7.0,23450.0,09/17/2014,,
06514,CT,4.68,17503.2,09/17/2014,,
06110,CT,3.0,11970.0,09/17/2014,,
06611,CT,5.2,19240.0,09/17/2014,,
06517,CT,6.76,26364.0,09/17/2014,,
06783,CT,6.38,22457.0,09/17/2014,,
06470,CT,12.5,42500.0,09/17/2014,,
06517,CT,5.22,19783.8,09/17/2014,,
06611,CT,7.28,29984.0,09/17/2014,,
06040,CT,7.25,25632.5,09/17/2014,,
06896,CT,5.25,20475.0,09/17/2014,,
06611,CT,8.84,34976.0,09/17/2014,,
06615,CT,4.0,19960.0,09/17/2014,,
06514,CT,5.23,26692.3,09/17/2014,,
06040,CT,10.5,36185.0,09/17/2014,,
06756,CT,5.2,24000.0,09/17/2014,,
06443,CT,3.75,13125.0,09/17/2014,,
06040,CT,5.22,19168.4,09/17/2014,,
06040,CT,9.5,32715.0,09/17/2014,,
06511,CT,6.76,25864.0,09/17/2014,,
06405,CT,7.85,36983.7,09/17/2014,,
06517,CT,5.72,26941.2,09/17/2014,,
06413,CT,6.0,22200.0,09/17/2014,,
06606,CT,5.2,23200.0,09/17/2014,,
06757,CT,4.86,21123.89,09/17/2014,,
06417,CT,5.2,23200.0,09/17/2014,,
06417,CT,5.1,23200.0,09/17/2014,,
06524,CT,10.0,35500.0,09/17/2014,,
06040,CT,5.75,19702.5,09/17/2014,,
06443,CT,7.25,25749.5,09/17/2014,,
06268,CT,7.02,25623.0,09/17/2014,,
06880,CT,8.7,35844.0,09/17/2014,,
06118,CT,5.89,40002.0,09/17/2014,,
06268,CT,5.72,19905.0,09/17/2014,,
06238,CT,11.0,38170.0,09/17/2014,,
06482,CT,4.25,20117.5,09/16/2014,,
06385,CT,11.0,51810.0,09/16/2014,,
06519,CT,5.2,24492.0,09/16/2014,,
06804,CT,9.0,42390.0,09/16/2014,,
06824,CT,11.0,54375.0,09/15/2014,,
06804,CT,11.0,51810.0,09/12/2014,,
06484,CT,9.18,37822.0,09/12/2014,,
06457,CT,7.0,28000.0,09/10/2014,,
06084,CT,9.0,42390.0,09/10/2014,,
06516,CT,7.83,28188.0,09/10/2014,,
06705,CT,8.18,39240.0,09/10/2014,,
06069,CT,4.48,18700.0,09/09/2014,,
06410,CT,10.0,33155.0,09/09/2014,,
06075,CT,5.8,23722.0,09/09/2014,,
06611,CT,10.75,39237.0,09/09/2014,,
06460,CT,4.0,17000.0,09/08/2014,,
06460,CT,4.0,16000.0,09/08/2014,,
06401,CT,5.5,24750.0,09/08/2014,,
06447,CT,9.9,43619.0,09/05/2014,,
06084,CT,7.35,44207.0,09/05/2014,,
06903,CT,9.0,30950.0,09/05/2014,,
06410,CT,10.8,36502.0,09/05/2014,,
06249,CT,10.4,36465.0,09/05/2014,,
06410,CT,10.5,37275.0,09/05/2014,,
06109,CT,6.54,30084.0,09/05/2014,,
06470,CT,8.0,25600.0,09/05/2014,,
06484,CT,4.59,15942.0,09/05/2014,,
06415,CT,9.9,28650.0,09/05/2014,,
06033,CT,5.0,16750.0,09/05/2014,,
06470,CT,11.0,35200.0,09/05/2014,,
06111,CT,5.46,19273.8,09/05/2014,,
06611,CT,4.68,18252.0,09/05/2014,,
06040,CT,6.54,31272.8,09/05/2014,,
06355,CT,5.8,25175.0,09/05/2014,,
06075,CT,10.5,38430.0,09/05/2014,,
06076,CT,6.75,25042.5,09/05/2014,,
06033,CT,6.75,22612.5,09/05/2014,,
06612,CT,9.36,34632.0,09/05/2014,,
06410,CT,9.5,32725.0,09/05/2014,,
06016,CT,13.5,52650.0,09/05/2014,,
06237,CT,7.0,31500.0,09/05/2014,,
06075,CT,6.0,21960.0,09/05/2014,,
06511,CT,8.32,31116.8,09/05/2014,,
06777,CT,9.86,34707.0,09/05/2014,,
06075,CT,6.21,28393.41,09/05/2014,,
06237,CT,6.75,25380.0,09/05/2014,,
06612,CT,7.25,28412.5,09/05/2014,,
06107,CT,3.18,13578.6,09/05/2014,,
06611,CT,8.32,34197.0,09/05/2014,,
06033,CT,7.0,22450.0,09/05/2014,,
06235,CT,3.27,15532.0,09/05/2014,,
06415,CT,6.0,21000.0,09/05/2014,,
06082,CT,5.89,28252.8,09/05/2014,,
06611,CT,7.0,26750.0,09/05/2014,,
06076,CT,9.16,43600.72,09/05/2014,,
06040,CT,8.12,31580.4,09/05/2014,,
06517,CT,7.0,24360.0,09/05/2014,,
06250,CT,6.0,21480.0,09/05/2014,,
06250,CT,7.25,27680.0,09/05/2014,,
06385,CT,12.48,53040.0,09/05/2014,,
06513,CT,6.75,29374.0,09/05/2014,,
06880,CT,18.2,71890.0,09/05/2014,,
06117,CT,6.5,25350.0,09/05/2014,,
06074,CT,9.28,36934.0,09/05/2014,,
06896,CT,12.0,54700.0,09/05/2014,,
06824,CT,5.75,21300.0,09/05/2014,,
06278,CT,6.09,24238.2,09/05/2014,,
06235,CT,9.75,34905.0,09/05/2014,,
06850,CT,15.7,87603.3,09/05/2014,,
06878,CT,7.85,42231.0,09/05/2014,,
06268,CT,7.8,27144.0,09/05/2014,,
06250,CT,8.16,35751.41,09/05/2014,,
06237,CT,7.83,27405.0,09/05/2014,,
06811,CT,7.75,36502.5,09/04/2014,,
06040,CT,7.5,35325.0,09/03/2014,,
06078,CT,5.75,24639.0,09/03/2014,,
06514,CT,5.25,24727.5,09/02/2014,,
06824,CT,10.54,38163.0,09/02/2014,,
06457,CT,500.0,1500000.0,08/28/2014,,
06716,CT,5.75,28175.0,08/28/2014,,
06511,CT,5.2,20900.0,08/25/2014,,
06118,CT,8.5,38300.0,08/22/2014,,
06457,CT,4.94,23267.4,08/20/2014,,
06023,CT,8.58,42017.5,08/20/2014,,
06457,CT,5.64,27611.5,08/20/2014,,
06029,CT,6.6,24090.0,08/19/2014,,
06093,CT,6.48,22680.0,08/19/2014,,
06779,CT,6.0,24490.0,08/19/2014,,
06237,CT,5.0,17250.0,08/19/2014,,
06082,CT,7.02,27167.4,08/19/2014,,
06470,CT,11.0,35200.0,08/19/2014,,
06076,CT,3.25,11044.0,08/19/2014,,
06410,CT,7.25,24737.5,08/19/2014,,
06410,CT,10.14,37025.0,08/19/2014,,
06705,CT,10.14,37011.0,08/19/2014,,
06783,CT,6.36,22387.0,08/19/2014,,
06782,CT,9.5,30350.0,08/19/2014,,
06040,CT,4.06,15259.2,08/19/2014,,
06033,CT,10.4,36920.0,08/19/2014,,
06482,CT,9.75,31200.0,08/19/2014,,
06040,CT,6.63,25587.5,08/19/2014,,
06040,CT,4.0,14870.0,08/19/2014,,
06033,CT,6.25,20937.5,08/19/2014,,
06082,CT,4.68,17128.8,08/19/2014,,
06470,CT,7.8,26520.0,08/19/2014,,
06033,CT,5.5,17425.0,08/19/2014,,
06057,CT,6.0,22740.0,08/19/2014,,
06410,CT,8.25,28287.5,08/19/2014,,
06415,CT,5.0,30000.0,08/19/2014,,
06470,CT,10.25,32800.0,08/19/2014,,
06073,CT,4.0,13400.0,08/19/2014,,
06415,CT,10.0,45457.0,08/19/2014,,
06033,CT,7.5,24625.0,08/19/2014,,
06082,CT,5.2,23600.0,08/19/2014,,
06415,CT,5.0,30040.0,08/19/2014,,
06040,CT,5.0,19650.0,08/19/2014,,
06798,CT,7.16,25919.0,08/19/2014,,
06107,CT,4.06,15590.0,08/19/2014,,
06239,CT,10.75,41388.0,08/19/2014,,
06234,CT,8.75,38478.0,08/19/2014,,
06040,CT,7.75,27417.5,08/19/2014,,
06063,CT,5.2,24100.0,08/19/2014,,
06250,CT,6.0,21480.0,08/19/2014,,
06040,CT,13.0,48410.0,08/19/2014,,
06063,CT,5.22,23790.0,08/19/2014,,
06040,CT,12.75,57705.91,08/19/2014,,
06830,CT,11.28,73771.0,08/19/2014,,
06247,CT,4.91,21026.0,08/19/2014,,
06078,CT,8.18,40466.25,08/19/2014,,
06226,CT,5.2,20228.0,08/19/2014,,
06268,CT,7.2,33696.0,08/19/2014,,
06019,CT,6.87,35021.7,08/19/2014,,
06092,CT,12.43,39828.0,08/19/2014,,
06424,CT,11.22,54500.0,08/19/2014,,
06268,CT,6.72,23587.2,08/19/2014,,
06488,CT,8.32,52088.0,08/19/2014,,
06258,CT,8.58,30561.0,08/19/2014,,
06082,CT,5.0,20900.0,08/18/2014,,
06708,CT,5.0,20900.0,08/14/2014,,
06469,CT,10.75,48375.0,08/12/2014,,
06033,CT,8.0,23445.0,08/12/2014,,
06033,CT,10.92,35582.0,08/12/2014,,
06370,CT,9.75,39363.0,08/12/2014,,
06484,CT,6.5,26000.0,08/12/2014,,
06238,CT,7.0,27090.0,08/12/2014,,
06339,CT,8.0,33440.0,08/06/2014,,
06380,CT,150.0,335000.0,08/05/2014,,
06111,CT,5.75,24035.0,08/05/2014,,
06060,CT,7.0,29260.0,08/05/2014,,
06378,CT,8.25,34485.0,08/05/2014,,
06471,CT,5.61,24000.0,08/01/2014,,
06447,CT,9.08,34031.0,08/01/2014,,
06111,CT,6.6,25920.0,08/01/2014,,
06524,CT,7.0,25200.0,08/01/2014,,
06611,CT,6.24,23712.0,08/01/2014,,
06470,CT,8.75,28000.0,08/01/2014,,
06460,CT,9.75,39843.5,08/01/2014,,
06117,CT,4.5,16110.0,08/01/2014,,
06783,CT,13.5,40225.0,08/01/2014,,
06105,CT,6.25,25948.75,08/01/2014,,
06611,CT,6.0,20700.0,08/01/2014,,
06082,CT,5.75,21332.5,08/01/2014,,
06415,CT,5.0,30000.0,08/01/2014,,
