Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=DE
19703,DE,6.75,,03/03/2015,,
19973,DE,6.5,,02/23/2015,,
19720,DE,6.48,,02/19/2015,,
19971,DE,7.65,,01/17/2015,,
19971,DE,8.16,,01/17/2015,,
19971,DE,12.5,,01/28/2015,,
19971,DE,11.0,,01/21/2015,,
19968,DE,6.0,,03/09/2015,,
19971,DE,9.0,,03/29/2015,,
19968,DE,4.0,,03/17/2015,,
19958,DE,5.5,,03/17/2015,,
19971,DE,5.5,,03/06/2015,,
19958,DE,5.5,,03/06/2015,,
19971,DE,12.5,,03/09/2015,,
19971,DE,18.0,,03/08/2015,,
19958,DE,4.0,,03/17/2015,,
19958,DE,7.5,,03/28/2015,,
19958,DE,6.0,,03/28/2015,,
19958,DE,5.5,,03/29/2015,,
19958,DE,12.5,,03/09/2015,,
19971,DE,6.5,,03/09/2015,,
19958,DE,5.0,,03/06/2015,,
19958,DE,6.5,,01/06/2015,,
19958,DE,12.5,,02/23/2015,,
19971,DE,8.25,,02/23/2015,,
19958,DE,5.5,,02/23/2015,,
19958,DE,5.5,,02/10/2015,,
19958,DE,5.0,,01/26/2015,,
19958,DE,5.5,,01/19/2015,,
19958,DE,6.5,,02/09/2015,,
19958,DE,5.5,,02/09/2015,,
19958,DE,5.5,,02/09/2015,,
19958,DE,5.5,,02/09/2015,,
19958,DE,5.0,,02/09/2015,,
19958,DE,5.5,,01/26/2015,,
19958,DE,5.5,,01/15/2015,,
19958,DE,6.0,,01/21/2015,,
19958,DE,12.04,,01/13/2015,,
19958,DE,5.5,,01/16/2015,,
19958,DE,5.5,,01/15/2015,,
19701,DE,10.6,,02/20/2015,,
19966,DE,7.02,,01/16/2015,,
19968,DE,6.72,,02/27/2015,,
19803,DE,3.98,,02/11/2015,,
19706,DE,6.25,,03/03/2015,,
19960,DE,18.15,,03/17/2015,,
19809,DE,9.52,,01/08/2015,,
19707,DE,10.64,,01/08/2015,,
19707,DE,18.2,,01/10/2015,,
19901,DE,7.84,,01/08/2015,,
19952,DE,10.26,,02/10/2015,,
19958,DE,14.58,,01/23/2015,,
19709,DE,7.5,,01/13/2015,,
19930,DE,5.2,,02/23/2015,,
19933,DE,8.8,,02/19/2015,,
19966,DE,5.61,,01/09/2015,,
19702,DE,10.08,,03/05/2015,,
19966,DE,6.5,,01/09/2015,,
19968,DE,9.9,,03/06/2015,,
19701,DE,8.5,,03/11/2015,,
19701,DE,9.0,,03/04/2015,,
19702,DE,5.5,,03/03/2015,,
19720,DE,7.0,,03/03/2015,,
19734,DE,7.5,,03/03/2015,,
19808,DE,6.25,,01/09/2015,,
19720,DE,5.0,,01/08/2015,,
19968,DE,4.08,,01/08/2015,,
19966,DE,4.0,,01/02/2015,,
19945,DE,7.5,,01/22/2015,,
19966,DE,5.5,,01/22/2015,,
19968,DE,6.0,,01/21/2015,,
19904,DE,5.78,,01/27/2015,,
19701,DE,9.0,,03/04/2015,,
19807,DE,5.4,,03/03/2015,,
19701,DE,6.28,,11/24/2014,,
19952,DE,8.42,,12/09/2014,,
19939,DE,21.42,,11/21/2014,,
19709,DE,9.0,,06/11/2014,,
19939,DE,9.18,,11/21/2014,,
19958,DE,4.0,,12/11/2014,,
19701,DE,6.5,,11/04/2013,,
19810,DE,5.5,,11/07/2014,,
19707,DE,17.28,,12/23/2014,,
19701,DE,6.6,,12/18/2014,,
19901,DE,14.0,,08/22/2014,,
19952,DE,7.56,,08/27/2014,,
19947,DE,5.2,,09/05/2014,,
19971,DE,8.42,,02/04/2014,,
19701,DE,7.5,,10/30/2014,,
19734,DE,10.0,,09/19/2014,,
19734,DE,10.0,,10/17/2014,,
19938,DE,6.48,,08/20/2014,,
19713,DE,7.5,,06/27/2014,,
19713,DE,7.5,,06/11/2014,,
19975,DE,7.0,,12/23/2014,,
19808,DE,4.16,,12/10/2014,,
19977,DE,9.0,,11/18/2014,,
19713,DE,8.25,,11/18/2014,,
19720,DE,6.0,,07/30/2014,,
19702,DE,4.75,,09/24/2014,,
19803,DE,8.33,,12/30/2013,,
19713,DE,4.41,,10/07/2014,,
19702,DE,4.41,,11/08/2014,,
19901,DE,5.88,,11/12/2014,,
19713,DE,7.5,,12/10/2014,,
19701,DE,7.02,,10/07/2014,,
19946,DE,7.0,,11/03/2014,,
19709,DE,6.86,,10/28/2014,,
19904,DE,5.5,,12/22/2014,,
19701,DE,6.86,,10/27/2014,,
19701,DE,7.0,,12/03/2014,,
19901,DE,12.0,,10/13/2014,,
19808,DE,5.72,,06/27/2014,,
19709,DE,10.54,,01/16/2014,,
19709,DE,8.82,,10/01/2014,,
19709,DE,9.0,,07/30/2014,,
19952,DE,5.0,,08/27/2014,,
19930,DE,9.81,,12/29/2014,,
19803,DE,12.6,,02/28/2014,,
19971,DE,5.0,,01/07/2014,,
19973,DE,9.45,,06/09/2014,,
19701,DE,3.5,,06/10/2014,,
19958,DE,14.0,,12/09/2014,,
19713,DE,3.25,,11/13/2014,,
19958,DE,6.0,,12/23/2014,,
19701,DE,6.5,,05/08/2014,,
19968,DE,12.5,,05/28/2014,,
19901,DE,17.25,,11/12/2014,,
19808,DE,6.0,,12/23/2014,,
19901,DE,6.0,,12/08/2014,,
19720,DE,3.64,,12/23/2014,,
19946,DE,13.5,,12/19/2014,,
19720,DE,5.25,,12/10/2014,,
19720,DE,3.5,,08/14/2014,,
19701,DE,8.25,,07/30/2014,,
19968,DE,3.5,,07/30/2014,,
19720,DE,5.88,,08/15/2014,,
19933,DE,8.33,,09/18/2014,,
19720,DE,8.82,,08/27/2014,,
19713,DE,3.68,,09/19/2014,,
19805,DE,9.56,,10/07/2014,,
19904,DE,9.0,,08/20/2014,,
19975,DE,4.9,,09/19/2014,,
19707,DE,8.25,,12/03/2014,,
19734,DE,8.25,,11/18/2014,,
19702,DE,8.09,,10/07/2014,,
19808,DE,6.37,,08/15/2014,,
19701,DE,8.09,,12/10/2014,,
19734,DE,5.88,,09/17/2014,,
19734,DE,5.72,,12/10/2014,,
19709,DE,9.0,,08/27/2014,,
19720,DE,6.86,,09/19/2014,,
19720,DE,6.37,,10/07/2014,,
19720,DE,1.96,,10/08/2014,,
19720,DE,8.5,,08/20/2014,,
19971,DE,4.59,,10/14/2014,,
19971,DE,8.25,,12/19/2014,,
19971,DE,5.61,,12/02/2014,,
