Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=FL
33578,FL,9.945,28365,02/06/2015,,
32779,FL,10.6,,07/31/2014,,
34239,FL,7.25,19000.0,12/18/2013,,
33414,FL,9.28,34000.0,01/16/2014,,
32817,FL,5.376,40976.0,03/08/2012,,
34773,FL,7.6,30000.0,02/08/2012,,
32828,FL,7.92,28900.0,11/27/2012,,
32832,FL,4.68,27932.0,12/06/2012,,
34772,FL,4.2,24000.0,06/22/2012,,
32833,FL,10.2,56785.59,08/21/2012,,
32812,FL,2.25,15100.0,03/21/2012,,
32803,FL,3.36,17600.0,07/12/2012,,
34772,FL,1.11,8919.0,03/12/2012,,
32803,FL,3.36,24500.0,03/21/2012,,
34772,FL,7.5,33200.0,02/01/2012,,
34744,FL,5.06,26000.0,04/02/2012,,
34769,FL,31.2,143973.0,07/16/2012,,
34773,FL,5.75,33500.0,01/12/2012,,
32839,FL,966.98,2893726.0,07/02/2012,,
34769,FL,59.0,290692.45,07/16/2012,,
32804,FL,19.2,124800.0,03/30/2012,,
32808,FL,217.17,1139054.0,05/03/2012,,
32607,FL,31.02,,06/14/2012,,
,FL,5.25,57024.10803,05/11/2007,,
34209,FL,5.25,58918.1161,06/18/2009,,
,FL,5.425,38151.79619,06/15/2007,,
32605,FL,1.8,,02/02/2004,,
,FL,13.1,120057.1176,04/06/2010,,
33110,FL,5.06,29216.61001,06/25/2010,,
,FL,25.2,219860.5997,07/23/2009,,
34209,FL,5.8,40013.44762,12/17/2009,,
,FL,4.875,37454.23356,06/29/2009,,
33957,FL,4.928,43902.39832,06/29/2009,,
32034,FL,4.86,34532.15343,12/29/2009,,
,FL,2.94,27179.14788,03/12/2009,,
32303,FL,4.0,17800.0,01/08/2013,,
34736,FL,7.26,,10/12/2012,,
34736,FL,6.16,,10/11/2012,,
34736,FL,6.16,,10/11/2012,,
34736,FL,6.16,,10/03/2012,,
34736,FL,6.6,,10/02/2012,,
34736,FL,6.16,,10/02/2012,,
34736,FL,7.26,,09/27/2012,,
34736,FL,6.16,,09/27/2012,,
34736,FL,6.6,,09/25/2012,,
34736,FL,6.6,,09/04/2012,,
34736,FL,7.26,,08/27/2012,,
