Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=GA
30458,GA,7.6,24500,05/02/2015,,
30269,GA,496.2,,07/02/2013,,
31405,GA,10.0,31000.0,10/13/1997,,
30906,GA,70.6,,12/15/2011,,
30093,GA,75.46,,09/05/2012,,
31206,GA,65.8,,12/14/2011,,
30622,GA,27.5,,01/14/2013,,
30363,GA,1034.9,,07/23/2012,,
30512,GA,1000.0,,01/24/2011,,
30004,GA,34.0,120000.0,03/01/2011,,
30075,GA,2.64,12500.0,11/16/2011,,
30336,GA,135.0,,06/15/2012,,
31021,GA,95.0,,03/01/2011,,
30721,GA,92.61,,06/06/2011,,
30223,GA,37.44,160000.0,06/24/2011,,
31021,GA,5.7,,06/14/2011,,
31321,GA,132.48,,09/25/2009,,
30305,GA,9.45,,07/03/2009,,
30004,GA,5.2,30000.0,08/06/2010,,
30728,GA,4.099999905,,08/13/2010,,
30705,GA,4.199999809,,08/12/2010,,
30172,GA,5.039999962,,07/28/2010,,
30512,GA,4.199999809,,07/21/2010,,
30725,GA,2.099999905,,06/28/2010,,
30720,GA,6.449999809,,06/25/2010,,
30546,GA,5.039999962,,06/01/2010,,
30513,GA,174.8000031,,07/16/2010,,
30513,GA,31.20000076,,05/12/2010,,
30522,GA,4.800000191,,03/05/2010,,
30707,GA,1.200000048,,01/12/2010,,
30721,GA,144.0,,01/08/2010,,
30513,GA,4.820000172,,12/08/2009,,
30560,GA,17.15999985,,12/07/2009,,
30560,GA,7.920000076,,12/07/2009,,
30546,GA,48.40000153,,11/19/2009,,
30513,GA,4.820000172,,09/30/2009,,
30541,GA,1.850000024,,09/30/2009,,
30512,GA,4.0,,09/21/2009,,
30350,GA,6.44,,07/20/2010,,
30307,GA,3.8,,07/13/2010,,
30327,GA,3.2,,06/15/2009,,
30307,GA,2.0,,08/13/2010,,
30269,GA,119.0,,01/15/2010,,
30269,GA,98.7,,12/15/2009,,
30312,GA,16.0,,03/15/2010,,
30055,GA,8.23,48500,01/03/2010,,
30022,GA,1.14,9000,09/02/2008,,
31406,GA,1.5,12400,05/01/2009,,
30004,GA,14,78000,01/25/2010,,
30456,GA,4,30000,07/01/2009,,
30286,GA,1000.0,,06/14/2012,,
30288,GA,1000.0,5000000.0,10/04/2011,,
30308,GA,1.67,,01/01/2002,,
