Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=HI
96795,HI,12.48,60000,04/10/2014,,
96789,HI,1.5,,03/30/2009,,
96789,HI,3.08,,04/03/2009,,
96789,HI,1.8,,12/04/2009,,
96740,HI,2.0,15800.0,11/11/2009,,
96863,HI,474.24,,06/28/2012,,
96825,HI,7.92,,09/28/2012,,
96825,HI,3.29,,07/02/2012,,
96825,HI,4.32,,06/28/2012,,
96822,HI,6.72,,08/28/2012,,
96821,HI,4.7,,08/22/2012,,
96821,HI,4.8,,07/30/2012,,
96819,HI,7.68,,08/15/2012,,
96818,HI,4.8,,08/28/2012,,
96818,HI,4.8,,08/28/2012,,
96818,HI,3.84,,08/23/2012,,
96818,HI,2.88,,07/30/2012,,
96817,HI,6.24,,09/06/2012,,
96817,HI,2.88,,07/16/2012,,
96816,HI,6.24,,08/15/2012,,
96816,HI,5.375,,07/24/2012,,
96816,HI,3.76,,07/02/2012,,
96815,HI,4.8,,07/16/2012,,
96813,HI,3.84,,09/04/2012,,
96813,HI,4.32,,08/13/2012,,
96797,HI,5.28,,10/10/2012,,
96797,HI,12.96,,10/05/2012,,
96797,HI,12.48,,10/05/2012,,
96797,HI,6.24,,10/05/2012,,
96797,HI,3.84,,10/02/2012,,
96797,HI,4.8,,10/01/2012,,
96797,HI,9.36,,09/28/2012,,
96797,HI,9.12,,09/28/2012,,
96797,HI,7.2,,09/26/2012,,
96797,HI,4.7,,08/29/2012,,
96797,HI,9.6,,08/22/2012,,
96797,HI,14.4,,08/13/2012,,
96797,HI,4.8,,08/13/2012,,
96797,HI,5.52,,08/10/2012,,
96797,HI,7.755,,08/07/2012,,
96797,HI,5.28,,07/30/2012,,
96797,HI,4.32,,07/30/2012,,
96797,HI,7.755,,07/16/2012,,
96797,HI,7.92,,07/02/2012,,
96797,HI,7.74,,07/02/2012,,
96797,HI,6.24,,06/29/2012,,
96795,HI,9.165,,07/02/2012,,
96792,HI,7.2,,10/06/2012,,
96792,HI,6.0,,10/05/2012,,
96792,HI,5.76,,08/29/2012,,
96792,HI,4.8,,08/13/2012,,
96792,HI,5.76,,07/31/2012,,
96792,HI,6.02,,07/30/2012,,
96792,HI,11.28,,06/28/2012,,
96791,HI,13.2,,10/11/2012,,
96789,HI,5.28,,10/12/2012,,
96789,HI,8.16,,10/10/2012,,
96789,HI,30.24,,10/05/2012,,
96789,HI,3.76,,09/27/2012,,
96789,HI,6.72,,09/13/2012,,
96789,HI,7.44,,09/11/2012,,
96789,HI,5.64,,09/05/2012,,
96789,HI,7.92,,09/04/2012,,
96789,HI,5.64,,08/13/2012,,
96789,HI,2.88,,08/13/2012,,
96789,HI,4.8,,08/07/2012,,
96789,HI,5.76,,07/31/2012,,
96789,HI,3.29,,07/31/2012,,
96789,HI,4.7,,07/16/2012,,
96789,HI,3.12,,07/16/2012,,
96786,HI,6.96,,10/10/2012,,
96786,HI,7.68,,10/05/2012,,
96786,HI,6.48,,10/03/2012,,
96786,HI,10.08,,10/01/2012,,
96786,HI,5.28,,09/26/2012,,
96782,HI,6.48,,10/10/2012,,
96782,HI,7.2,,09/13/2012,,
96782,HI,5.04,,07/31/2012,,
96762,HI,5.28,,10/01/2012,,
96762,HI,5.04,,09/25/2012,,
96762,HI,8.64,,08/30/2012,,
96762,HI,5.28,,08/30/2012,,
96762,HI,6.11,,08/10/2012,,
96744,HI,4.8,,10/05/2012,,
96744,HI,2.4,,10/04/2012,,
96744,HI,9.6,,09/13/2012,,
96744,HI,1.92,,09/13/2012,,
96744,HI,10.08,,08/22/2012,,
96744,HI,7.68,,08/22/2012,,
96744,HI,4.8,,08/22/2012,,
96744,HI,6.48,,08/13/2012,,
96744,HI,29.04,,08/01/2012,,
96744,HI,3.84,,07/30/2012,,
96744,HI,3.29,,07/22/2012,,
96734,HI,2.585,,10/10/2012,,
96734,HI,6.96,,10/01/2012,,
96734,HI,13.0,,09/21/2012,,
96734,HI,9.12,,08/22/2012,,
96734,HI,5.17,,08/13/2012,,
96734,HI,9.87,,08/10/2012,,
96734,HI,5.17,,08/10/2012,,
96734,HI,4.32,,08/10/2012,,
96734,HI,1.92,,08/10/2012,,
96734,HI,16.8,,08/01/2012,,
96734,HI,7.755,,07/30/2012,,
96734,HI,6.58,,07/30/2012,,
96734,HI,9.36,,07/16/2012,,
96717,HI,4.32,,10/10/2012,,
96717,HI,5.28,,08/23/2012,,
96717,HI,6.72,,07/31/2012,,
96712,HI,9.12,,10/04/2012,,
96712,HI,5.64,,08/22/2012,,
96712,HI,3.84,,08/21/2012,,
96712,HI,7.52,,07/31/2012,,
96712,HI,10.08,,07/09/2012,,
96707,HI,5.76,,09/26/2012,,
96707,HI,3.6,,08/29/2012,,
96707,HI,4.23,,08/22/2012,,
96707,HI,6.11,,08/21/2012,,
96707,HI,5.64,,08/13/2012,,
96707,HI,5.64,,08/13/2012,,
96707,HI,4.4,,08/13/2012,,
96707,HI,5.64,,08/03/2012,,
96707,HI,7.92,,07/30/2012,,
96707,HI,4.32,,07/30/2012,,
96707,HI,7.05,,07/16/2012,,
96706,HI,6.72,,10/12/2012,,
96706,HI,12.48,,10/11/2012,,
96706,HI,3.6,,10/10/2012,,
96706,HI,8.88,,10/02/2012,,
96706,HI,9.6,,09/26/2012,,
96706,HI,7.92,,09/26/2012,,
96706,HI,12.48,,09/17/2012,,
96706,HI,7.92,,09/14/2012,,
96706,HI,9.675,,09/13/2012,,
96706,HI,4.8,,09/11/2012,,
96706,HI,7.44,,09/10/2012,,
96706,HI,7.92,,09/06/2012,,
96706,HI,7.92,,08/28/2012,,
96706,HI,5.76,,08/15/2012,,
96706,HI,4.8,,08/13/2012,,
96706,HI,3.36,,08/13/2012,,
96706,HI,8.16,,08/10/2012,,
96706,HI,7.68,,08/09/2012,,
96706,HI,4.32,,07/30/2012,,
96706,HI,3.36,,07/24/2012,,
96706,HI,7.92,,07/16/2012,,
96706,HI,6.48,,07/16/2012,,
96706,HI,6.24,,07/16/2012,,
96792,HI,1.12,,06/30/2009,,
96817,HI,13.55,,09/04/2012,,
96759,HI,129.6,,05/29/2012,,
96791,HI,129.6,,06/21/2012,,
96789,HI,4.6,,06/03/2009,,
96789,HI,1.9,,11/10/2009,,
96789,HI,3.4,,11/10/2009,,
96789,HI,1.6,,05/05/2009,,
96789,HI,1.54,,04/07/2009,,
96789,HI,1.54,,05/06/2009,,
96789,HI,4.5,,11/25/2009,,
96789,HI,2.78,,03/26/2009,,
96789,HI,3.9,,05/21/2009,,
96789,HI,1.94,,09/28/2009,,
96789,HI,0.65,,02/11/2009,,
96789,HI,1.8,,10/06/2009,,
96789,HI,2.49,,04/03/2009,,
96789,HI,3.7,,12/14/2009,,
96789,HI,2.6,,11/16/2009,,
96789,HI,0.7,,08/04/2009,,
