Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IA
52228,IA,4.2,12000,10/30/2014,,
51301,IA,2.79,2900,11/01/2014,,
51301,IA,1.98,21300,03/07/2007,,
50023,IA,7.28,21362,09/14/2011,,
50115,IA,3.12,10086,10/07/2011,,
52556,IA,4.5,18189,07/01/2010,,
52556,IA,6.0,25727,09/18/2009,,
52556,IA,7.0,21075,12/29/2009,,
52627,IA,13.2,48343,09/03/2010,,
52241,IA,5.25,16411,04/01/2011,,
52556,IA,7.8,22435,07/15/2011,,
52556,IA,17.16,49954,07/15/2011,,
52556,IA,54.05,280823,05/15/2008,,
52556,IA,3.25,13464,07/13/2010,,
52635,IA,7.8,23264,07/15/2011,,
52556,IA,4.5,18135,08/26/2010,,
52501,IA,13.96,42965,04/20/2011,,
52556,IA,6.12,24103,07/08/2008,,
52556,IA,5.0,17985,12/03/2010,,
52556,IA,14.4,46749,11/01/2011,,
52556,IA,9.0,35238,10/14/2009,,
52556,IA,12.0,46794,06/23/2010,,
50112,IA,5.46,16585,08/12/2011,,
50112,IA,6.0,23465,07/31/2010,,
52556,IA,14.4,48443,01/08/2011,,
52556,IA,2.5,11280,12/16/2008,,
52556,IA,8.4,28482,08/10/2011,,
52556,IA,4.0,15847,08/19/2010,,
52556,IA,4.0,15028,08/19/2010,,
52556,IA,9.18,36025,05/15/2010,,
52556,IA,4.5,14123,12/16/2010,,
50023,IA,4.56,15457,11/03/2011,,
52353,IA,7.8,23264,07/13/2011,,
52353,IA,1.04,3969,11/02/2011,,
52556,IA,8.0,24532,03/22/2011,,
52556,IA,2.6,8768,11/03/2011,,
52556,IA,35.45,145911,05/15/2010,,
52556,IA,20.24,101145,12/20/2007,,
52556,IA,46.0,110715,12/21/2010,,
52556,IA,57.0,150000,06/21/2011,,
52556,IA,14.5,58753,09/08/2009,,
52556,IA,19.4,75175,09/05/2008,,
52556,IA,10.5,44250,08/26/2009,,
52540,IA,9.1,26975,08/16/2011,,
52556,IA,2.0,10137,08/31/2011,,
52403,IA,4.0,8527,05/07/2011,,
52556,IA,5.0,20097,07/01/2010,,
52556,IA,3.5,14423,09/28/2010,,
52302,IA,4.16,12874,08/16/2011,,
52556,IA,2.5,11386,04/01/2010,,
50112,IA,11.1,31191,10/11/2011,,
52550,IA,9.0,29465,06/21/2011,,
52556,IA,9.1,26867,05/11/2011,,
52556,IA,15.98,73210,05/08/2008,,
52659,IA,6.7,17080,11/01/2011,,
52540,IA,10.4,30685,09/14/2011,,
50112,IA,11.47,32264,09/15/2015,,
52556,IA,7.2,23213,11/03/2015,,
52540,IA,10.4,30685,08/10/2015,,
52101,IA,14.5,,07/17/2014,,
52101,IA,21.5,,08/09/2012,,
52214,IA,15.0,49000.0,10/22/2014,,
52302,IA,7.5,37500.0,08/24/2009,,
52214,IA,7.0,24000.0,09/10/2014,,
52305,IA,6.0,30000.0,07/15/2009,,
52404,IA,4.0,,08/04/2014,,
52353,IA,18.75,61000.0,08/05/2014,,
52353,IA,16.25,53000.0,08/03/2014,,
52317,IA,8.5,28000.0,08/31/2014,,
52404,IA,10.0,40000.0,08/21/2014,,
52305,IA,6.5,23000.0,02/06/2014,,
52247,IA,800.0,2200000.0,07/31/2014,,
52305,IA,6.5,24700.0,03/17/2014,,
52353,IA,3.6,,03/01/2014,,
52353,IA,19.8,,02/28/2014,,
52247,IA,6.0,,02/27/2014,,
52353,IA,8.4,,02/26/2014,,
52248,IA,27.6,,02/25/2014,,
52248,IA,19.2,,02/24/2014,,
50208,IA,20.4,,02/23/2014,,
50208,IA,10.8,,02/22/2014,,
52353,IA,30.0,,02/21/2014,,
52353,IA,24.0,,02/20/2014,,
52501,IA,7.2,,02/19/2014,,
52359,IA,12.0,,02/18/2014,,
50112,IA,7.2,,02/17/2014,,
50112,IA,8.0,,02/16/2014,,
52353,IA,9.0,,02/15/2014,,
52404,IA,4.0,,02/14/2014,,
52201,IA,21.0,,02/01/2014,,
52353,IA,7.2,,02/01/2014,,
52353,IA,9.0,,02/01/2014,,
52353,IA,33.0,,02/01/2014,,
52353,IA,12.0,,03/01/2014,,
52353,IA,6.5,,12/03/2013,,
52353,IA,9.6,,02/04/2014,,
52353,IA,6.0,,12/03/2013,,
52501,IA,16.8,,03/01/2014,,
52501,IA,15.0,,03/01/2014,,
52353,IA,12.0,,02/25/2014,,
52359,IA,18.0,,02/10/2014,,
52359,IA,22.4,,02/10/2014,,
52247,IA,4.8,,12/27/2013,,
52359,IA,6.0,,12/26/2013,,
50124,IA,20.0,,11/20/2013,,
52353,IA,9.3,,12/03/2013,,
52340,IA,5.5,,12/01/2013,,
52353,IA,21.0,,01/20/2014,,
52353,IA,21.0,,01/20/2014,,
52353,IA,21.0,,01/20/2014,,
52356,IA,21.0,,01/20/2014,,
52356,IA,21.0,,01/20/2014,,
52248,IA,21.0,,01/20/2014,,
52353,IA,24.0,,01/20/2014,,
52356,IA,21.0,,01/20/2014,,
52353,IA,21.0,,01/20/2014,,
52317,IA,4.0,,11/19/2013,,
52353,IA,6.6,,12/31/1969,,
50112,IA,2.5,,11/27/2013,,
52358,IA,8.1,,08/15/2013,,
50112,IA,5.0,,11/25/2013,,
50112,IA,7.2,,12/16/2013,,
50112,IA,25.0,,12/15/2013,,
52353,IA,5.4,,10/22/2013,,
52351,IA,3.5,,10/14/2013,,
52353,IA,27.0,,11/15/2013,,
52353,IA,16.2,,11/20/2013,,
52353,IA,24.0,,11/20/2013,,
52353,IA,19.8,,11/20/2013,,
52353,IA,15.0,,10/14/2013,,
52353,IA,15.0,,07/10/2013,,
52353,IA,5.0,,08/31/2013,,
52353,IA,11.0,,08/10/2013,,
52353,IA,7.0,,08/31/2013,,
52335,IA,31.0,,10/31/2013,,
52335,IA,15.0,,10/31/2013,,
52335,IA,3.0,,10/31/2013,,
50010,IA,6.3,,10/18/2013,,
52043,IA,9.0,,08/16/2013,,
52621,IA,40.0,,11/25/2013,,
52621,IA,40.0,,09/01/2013,,
52621,IA,10.8,,11/25/2013,,
52353,IA,3.6,,12/20/2013,,
52353,IA,10.8,,12/20/2013,,
50046,IA,5.0,,07/01/2013,,
52353,IA,16.5,,11/14/2013,,
52353,IA,16.6,,12/20/2013,,
52356,IA,36.45,,12/01/2013,,
52353,IA,60.0,,07/30/2013,,
52353,IA,13.8,,07/16/2013,,
52353,IA,4.8,,07/16/2013,,
52353,IA,16.2,,07/16/2013,,
52353,IA,3.5,,05/03/2013,,
52353,IA,17.8,,06/02/2013,,
50468,IA,8.4,,08/07/2013,,
