Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=ID
83660,ID,35.2,,09/09/2011,,
83706,ID,5.875,,05/23/2014,,
83702,ID,24.48,,03/24/2014,,
83340,ID,55.5,,11/01/2010,,
83647,ID,100.0,,03/19/2013,,
83656,ID,4.77,,12/17/2013,,
83211,ID,1.1,,07/11/2006,,
83232,ID,37.8,191164.0,08/16/2011,,
83832,ID,47.53,259670.0,09/12/2011,,
83702,ID,50.0,,07/19/2012,,
83250,ID,8.82,,07/21/2011,,
83320,ID,40.5,250000.0,07/24/2012,,
83352,ID,35.0,182356.0,06/28/2011,,
83523,ID,37.125,191399.0,11/08/2011,,
83864,ID,64.68,359398.0,08/31/2011,,
83642,ID,27.2,,12/28/2011,,
83843,ID,5.0,85000.0,04/14/2009,,
83628,ID,7.15,,09/12/2011,,
83628,ID,30.25,,08/19/2011,,
83676,ID,79.0,440000.0,09/01/2011,,
83687,ID,1.792,,10/25/2011,,
83647,ID,39.33,,08/03/2011,,
83702,ID,0.6,,06/13/2011,,
83246,ID,2.58,38000.0,11/09/2009,,
83464,ID,1.1,,04/15/2010,,
83440,ID,86.24,440034.0,06/28/2011,,
83703,ID,8.2,,05/22/2010,,
83714,ID,1.84,,10/02/2010,,
83713,ID,6.4,,05/03/2010,,
83201,ID,1.02,,12/12/2008,,
83204,ID,1.1,,12/04/2007,,
83616,ID,6.4,,09/10/2008,,
83702,ID,2.71,,07/03/2006,,
83705,ID,99.96,432076.0,06/20/2011,,
83301,ID,1.19,,03/30/2011,,
83213,ID,55.44,359000.0,11/09/2010,,
83333,ID,1.1,,04/16/2007,,
83657,ID,1.1,,03/02/2009,,
83422,ID,7.59,48000.0,10/01/2010,,
83661,ID,1.1,,04/02/2007,,
83716,ID,11.46,,10/17/2011,,
83530,ID,2,25000,11/14/1983,,
83714,ID,7.392,40224.0,10/18/2012,,
