Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IL
62821,IL,8.415,29500.0,03/13/2015,,
62827,IL,7.84,25000.0,02/02/2015,,
62821,IL,9.52,29500,04/20/2015,,
62827,IL,10.5,27800.0,11/05/2014,,
60605,IL,264.0,,10/16/2013,,
62557,IL,1.44,9430.0,12/21/2012,,
62821,IL,12.24,52000.0,06/11/2013,,
61028,IL,3.76,23007.0,11/07/2012,,
61036,IL,368.0,1335195.88,08/24/2012,,
62565,IL,37.0,128000.0,06/27/2012,,
62565,IL,2.912,19421.0,04/23/2012,,
62565,IL,13.4,67424.0,01/24/2012,,
62832,IL,75.0,540000.0,02/29/2012,,
61910,IL,10.08,59975.0,05/29/2012,,
61041,IL,5.64,17978.0,10/20/2012,,
61373,IL,8.34,19530.0,12/07/2012,,
62298,IL,10.2,51400.0,12/05/2012,,
62907,IL,6.0,34511.0,12/04/2012,,
60643,IL,3.78,12435.96,06/10/2012,,
60173,IL,69.09,340356.0,05/29/2012,,
62025,IL,4.5,26600.0,01/14/2012,,
62902,IL,5.0,26767.75,11/07/2012,,
60506,IL,4.7,21800.0,03/05/2012,,
60714,IL,3.5,21000.0,12/12/2012,,
60436,IL,5.94,47550.0,02/12/2012,,
61088,IL,5.8,25750.0,10/29/2012,,
60089,IL,2.4,19200.0,05/15/2012,,
61021,IL,3.6,16100.0,12/22/2012,,
62711,IL,3.525,21171.6,05/01/2012,,
60302,IL,99.0,757380.0,03/30/2012,,
62025,IL,99.8,894800.0,01/31/2012,,
61704,IL,4.0,23000.0,11/17/2012,,
61109,IL,7.4,24262.0,09/21/2012,,
60435,IL,5.32,37490.0,04/29/2012,,
61265,IL,315.6,2053717.0,06/29/2012,,
60610,IL,1.11,10250.0,06/30/2012,,
62907,IL,8.28,41000.0,03/12/2012,,
60563,IL,151.8,822115.0,06/25/2012,,
60540,IL,7.97,42000.0,06/22/2012,,
60093,IL,7.75,42259.85,04/30/2012,,
62040,IL,5.39,24000.0,05/04/2012,,
60010,IL,6.9,43000.0,02/05/2012,,
62220,IL,16.5,115670.0,06/05/2012,,
60115,IL,5.25,32529.0,06/26/2012,,
60955,IL,4.4,27374.38,01/13/2012,,
62711,IL,2.76,14900.0,03/21/2012,,
61417,IL,5.64,22560.0,09/15/2012,,
60464,IL,17.0,91335.0,06/13/2012,,
60302,IL,5.06,18204.0,02/10/2012,,
60047,IL,5.04,54000.0,12/16/2012,,
61021,IL,9.6,22999.0,05/23/2012,,
61571,IL,4.7,22984.0,12/10/2012,,
60047,IL,5.04,54000.0,02/17/2012,,
61450,IL,6.0,51749.0,05/01/2012,,
60602,IL,1.88,5275.23,10/15/2012,,
61523,IL,5.6,50400.0,05/08/2012,,
60030,IL,19.8,34313.0,11/07/2012,,
62613,IL,13.4,47987.0,01/01/2012,,
60016,IL,6.24,31997.75,12/06/2012,,
62568,IL,20.0,110469.0,02/12/2012,,
60098,IL,5.1,19623.43,02/20/2012,,
60622,IL,10.0,37611.0,06/27/2012,,
60609,IL,86.4,453680.0,12/12/2012,,
60148,IL,30.82,192579.0,01/31/2012,,
62234,IL,7.5,80040.46,12/21/2012,,
60004,IL,4.41,29370.0,01/25/2012,,
62906,IL,4.16,18286.84,11/08/2012,,
60443,IL,10.0,72950.0,06/21/2012,,
60035,IL,10.0,55000.0,12/14/2012,,
60467,IL,4.7,48175.0,05/13/2012,,
60056,IL,6.12,33000.0,11/30/2012,,
60614,IL,2.76,24924.0,06/15/2012,,
60622,IL,1.11,10250.0,01/12/2012,,
60487,IL,3.7,18750.0,11/28/2012,,
62010,IL,25.2,226100.0,01/31/2012,,
60047,IL,5.04,31839.0,01/13/2012,,
61477,IL,2.88,16934.04,09/01/2012,,
60614,IL,4.6,9495.0,01/12/2012,,
60047,IL,5.37,12360.0,12/21/2012,,
60137,IL,2.5,13250.0,11/19/2012,,
60450,IL,5.64,28100.0,10/16/2012,,
61853,IL,8.0,22496.12,10/27/2012,,
60093,IL,34.16,231900.0,01/16/2012,,
60056,IL,2.4,16280.0,06/20/2012,,
62025,IL,14.4,82902.0,06/25/2012,,
61423,IL,5.64,18778.0,09/22/2012,,
60645,IL,1.68,9975.0,04/11/2012,,
60614,IL,3.9,34900.0,02/28/2012,,
60010,IL,4.08,26386.0,06/04/2012,,
61081,IL,7.35,26737.0,11/15/2012,,
60015,IL,12.0,100000.0,04/28/2012,,
62854,IL,4.32,29776.0,11/15/2012,,
62305,IL,7.2,46230.0,01/13/2012,,
60069,IL,1.44,10540.0,01/20/2012,,
60008,IL,2.88,19853.0,06/21/2012,,
60443,IL,2.35,9053.14,03/12/2012,,
61081,IL,28.0,34000.0,08/30/2012,,
61010,IL,5.64,18038.0,09/07/2012,,
61738,IL,9.03,48168.0,12/03/2012,,
60559,IL,11.24,26960.0,12/17/2012,,
60639,IL,20.0,65000.0,06/30/2012,,
60002,IL,5.74,16719.69,08/08/2012,,
60060,IL,3.9,34900.0,03/01/2012,,
60614,IL,3.45,32450.0,06/13/2012,,
62711,IL,1.92,8744.09,02/24/2012,,
60189,IL,6.45,12926.56,12/07/2012,,
60560,IL,6.0,34000.0,11/14/2012,,
61103,IL,16.8,108000.0,12/27/2012,,
62223,IL,24.0,187694.0,04/22/2012,,
