Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=KY
42420,KY,9.18,32000,05/30/2014,,
42301,KY,6.12,21500,05/02/2014,,
40515,KY,3.27,14000.0,03/20/2006,,
40903,KY,240.0,,05/26/2010,,
40356,KY,12.74,48700.0,03/25/2013,,
40207,KY,5.2,21000.0,04/05/2013,,
42050,KY,37.44,,12/30/2011,,
42240,KY,2.07,,12/09/2009,,
42101,KY,140.0,875000.0,12/16/2011,,
40214,KY,15.0,108000.0,12/06/2011,,
42101,KY,210.0,1290000.0,12/15/2010,,
41051,KY,22.66,,12/13/2005,,
42240,KY,2.07,,05/17/2011,,
42104,KY,2.5,,07/20/2010,,
42031,KY,1.299999952,,06/01/2010,,
42240,KY,2.0,,07/22/2010,,
42701,KY,4.2,29222,07/10/2009,,
40178,KY,9.315,37260,11/17/2015,,
42101,KY,14.88,44900,01/08/2015,,
42450,KY,22.23,106797,10/11/2013,,
42450,KY,13.44,43680,12/18/2014,,
42301,KY,10.2,35000,03/25/2014,,
42722,KY,4.18,20110,11/20/2009,,
42784,KY,2.6,17000,11/23/2007,,
40217,KY,2.46,17117,08/15/2008,,
40222,KY,5.98,28840,03/04/2010,,
42101,KY,2000.0,,07/01/2011,,
40456,KY,60.9,243955.0,11/29/2010,,
41017,KY,436.33,3000000.0,05/11/2011,,
