Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=LA
70764,LA,31.68,,10/27/2008,,
71203,LA,19.34,82000.0,12/30/2009,,
70131,LA,4.1,,08/08/2012,,
70127,LA,4.1,,08/08/2012,,
70126,LA,4.1,,08/08/2012,,
70122,LA,4.1,,08/08/2012,,
70114,LA,4.1,,08/08/2012,,
70127,LA,4.1,,08/08/2012,,
70126,LA,4.1,,08/08/2012,,
70114,LA,4.1,,08/08/2012,,
70131,LA,4.1,,08/08/2012,,
70127,LA,4.1,,08/08/2012,,
70126,LA,4.1,,08/08/2012,,
70122,LA,4.1,,08/08/2012,,
70122,LA,4.1,,08/02/2012,,
70129,LA,4.1,,08/02/2012,,
70126,LA,4.1,,08/02/2012,,
70122,LA,4.1,,08/02/2012,,
70127,LA,4.1,,08/01/2012,,
70126,LA,4.1,,08/01/2012,,
70127,LA,4.1,,08/01/2012,,
70126,LA,4.1,,08/01/2012,,
70129,LA,4.1,,07/26/2012,,
70128,LA,4.1,,07/26/2012,,
70127,LA,4.1,,07/26/2012,,
70126,LA,4.1,,07/26/2012,,
70126,LA,4.1,,07/26/2012,,
70126,LA,4.1,,07/26/2012,,
70122,LA,4.1,,07/26/2012,,
70122,LA,4.1,,07/26/2012,,
70122,LA,4.1,,07/26/2012,,
70117,LA,4.1,,07/26/2012,,
70072,LA,4.1,,07/26/2012,,
70065,LA,4.1,,07/26/2012,,
70058,LA,4.1,,07/26/2012,,
70131,LA,4.1,,07/26/2012,,
70126,LA,4.1,,07/26/2012,,
70129,LA,4.1,,07/26/2012,,
70128,LA,4.1,,07/26/2012,,
70127,LA,4.1,,07/26/2012,,
70126,LA,4.1,,07/26/2012,,
70126,LA,4.1,,07/26/2012,,
70126,LA,4.1,,07/26/2012,,
70122,LA,4.1,,07/26/2012,,
70122,LA,4.1,,07/26/2012,,
70122,LA,4.1,,07/26/2012,,
70117,LA,4.1,,07/26/2012,,
70072,LA,4.1,,07/26/2012,,
70065,LA,4.1,,07/26/2012,,
70058,LA,4.1,,07/26/2012,,
70062,LA,4.1,,07/19/2012,,
70062,LA,4.1,,07/19/2012,,
70065,LA,4.1,,07/19/2012,,
70065,LA,4.1,,07/19/2012,,
70062,LA,4.1,,07/19/2012,,
70128,LA,4.1,,07/17/2012,,
70126,LA,4.1,,07/17/2012,,
70126,LA,4.1,,07/17/2012,,
70126,LA,4.1,,07/17/2012,,
70119,LA,4.1,,07/17/2012,,
70122,LA,4.1,,07/17/2012,,
70118,LA,4.1,,07/17/2012,,
70128,LA,4.1,,07/17/2012,,
70127,LA,4.1,,07/17/2012,,
70126,LA,4.1,,07/17/2012,,
70129,LA,4.1,,07/17/2012,,
70128,LA,4.1,,07/17/2012,,
70126,LA,4.1,,07/17/2012,,
70126,LA,4.1,,07/17/2012,,
70126,LA,4.1,,07/17/2012,,
70119,LA,4.1,,07/17/2012,,
70122,LA,4.1,,07/17/2012,,
70127,LA,4.1,,07/13/2012,,
70119,LA,4.1,,07/13/2012,,
70072,LA,4.1,,07/13/2012,,
70126,LA,4.1,,07/13/2012,,
70122,LA,4.1,,07/13/2012,,
70128,LA,4.1,,07/13/2012,,
70126,LA,4.1,,07/13/2012,,
70127,LA,4.1,,07/13/2012,,
70126,LA,4.1,,07/13/2012,,
70122,LA,4.1,,07/13/2012,,
70127,LA,4.1,,07/13/2012,,
70127,LA,4.1,,07/13/2012,,
70131,LA,4.1,,07/12/2012,,
70072,LA,4.1,,07/12/2012,,
70131,LA,4.1,,07/12/2012,,
70072,LA,4.1,,07/12/2012,,
70458,LA,4.1,,07/11/2012,,
70458,LA,4.1,,07/11/2012,,
70403,LA,4.1,,07/06/2012,,
