Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MA
01983,MA,5.4,21654,02/19/2015,,
01257,MA,6.6,25484,12/31/2014,,
01073,MA,9.6,38100.0,12/31/2014,,
01027,MA,7.2,25830.0,12/12/2014,,
02673,MA,6.0,26110.0,12/31/2014,,
02359,MA,92.485,275600.0,08/20/2014,,
01069,MA,5.565,26290.0,09/30/2014,,
01610,MA,209.0,672000.0,12/12/2013,,
01364,MA,3350.0,,09/06/2013,,
01056,MA,7.8,29000.0,06/30/2014,,
01007,MA,1500.0,,06/17/2013,,
01083,MA,17100.0,60000000.0,05/31/2014,,
01886,MA,10.0,,01/02/2014,,
01069,MA,8.0,30390.0,12/31/2013,,
01057,MA,4.75,22530.0,12/19/2013,,
01035,MA,66.75,243997.0,12/31/2013,,
02061,MA,20.0,90000.0,01/15/2013,,
01030,MA,2.45,14400.0,07/19/2013,,
01082,MA,6.86,32360.0,08/02/2013,,
01007,MA,8.0,35574.0,06/30/2013,,
01235,MA,12.25,61400.0,06/20/2013,,
01007,MA,13.0,56264.0,04/22/2013,,
02128,MA,64.15,,06/28/2012,,
02119,MA,73.32,,05/10/2012,,
01151,MA,2300.0,11400000.0,12/01/2011,,
01201,MA,1830.0,9400000.0,12/01/2010,,
02136,MA,5.64,23970.0,03/23/2012,,
01507,MA,5.17,24196.0,03/23/2012,,
01095,MA,9.2,46000.0,03/15/2012,,
01331,MA,5.04,15624.0,03/15/2012,,
01301,MA,3.92,24382.0,03/15/2012,,
01853,MA,4.14,19000.0,03/23/2012,,
01527,MA,4.23,17554.5,03/15/2012,,
01902,MA,4.18,22869.0,03/15/2012,,
01503,MA,5.88,23833.25,03/23/2012,,
02150,MA,7.05,29704.0,03/23/2012,,
02127,MA,4.23,17554.5,03/23/2012,,
02148,MA,5.64,27636.0,03/23/2012,,
02130,MA,4.9,23539.25,03/23/2012,,
02188,MA,9.4,63690.0,03/16/2012,,
02140,MA,7.755,33346.5,03/16/2012,,
01701,MA,8.16,36312.0,03/23/2012,,
02130,MA,6.11,29939.0,03/15/2012,,
02169,MA,7.2,40320.0,03/23/2012,,
02131,MA,3.055,13283.75,03/15/2012,,
02119,MA,2.64,15081.0,03/07/2012,,
02543,MA,7.68,42777.6,07/26/2012,,
02630,MA,3.055,12498.37,03/07/2012,,
02747,MA,9.945,49113.0,03/07/2012,,
01266,MA,6.72,41280.11,04/12/2012,,
02130,MA,3.525,14311.5,03/07/2012,,
02143,MA,3.91,17518.5,03/07/2012,,
02176,MA,3.76,19589.6,03/07/2012,,
02143,MA,9.8,41179.25,02/24/2012,,
01854,MA,4.23,20727.0,02/24/2012,,
01773,MA,4.75,27200.0,04/12/2012,,
02125,MA,6.58,27307.0,02/24/2012,,
02132,MA,4.23,17554.5,02/24/2012,,
02067,MA,6.11,25956.5,02/24/2012,,
01810,MA,11.985,62441.85,03/05/2012,,
02474,MA,3.36,17505.6,12/21/2012,,
02540,MA,5.06,15546.38,03/05/2012,,
02176,MA,7.68,36315.4,03/05/2012,,
01451,MA,4.0,21600.0,02/24/2012,,
02747,MA,4.935,25711.35,03/05/2012,,
01905,MA,4.23,21993.3,03/05/2012,,
02116,MA,2.94,11926.25,03/05/2012,,
02131,MA,5.39,22448.75,02/24/2012,,
02739,MA,5.04,20900.0,02/24/2012,,
02421,MA,5.265,28168.0,02/24/2012,,
02657,MA,7.75,53045.0,02/24/2012,,
02464,MA,3.29,16614.5,02/17/2012,,
02149,MA,7.05,29962.5,02/17/2012,,
01701,MA,5.64,23406.0,02/17/2012,,
02130,MA,6.58,27636.0,02/17/2012,,
02186,MA,9.87,42547.5,02/17/2012,,
02053,MA,4.23,17997.5,02/17/2012,,
02467,MA,6.11,25356.5,02/17/2012,,
01921,MA,7.52,39179.2,02/17/2012,,
02201,MA,3.055,12978.25,02/17/2012,,
01890,MA,5.25,26670.0,02/24/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,8.0,43200.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,4.0,21600.0,02/17/2012,,
01451,MA,10.0,54000.0,02/17/2012,,
01451,MA,10.0,54000.0,02/17/2012,,
01451,MA,10.0,54000.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01105,MA,9.4,54290.0,02/17/2012,,
01803,MA,5.17,21455.5,02/17/2012,,
02143,MA,3.055,13136.5,02/17/2012,,
01462,MA,4.7,19505.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,10.0,54000.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,8.0,43200.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,8.0,43200.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,10.0,54000.0,02/17/2012,,
01451,MA,4.0,21600.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,10.0,54000.0,02/17/2012,,
01451,MA,8.0,43200.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,10.0,54000.0,02/17/2012,,
01451,MA,5.0,27000.0,02/17/2012,,
01451,MA,10.0,54000.0,02/17/2012,,
02119,MA,3.87,20705.0,06/08/2012,,
02739,MA,3.29,14311.0,02/07/2012,,
01089,MA,41.595,218772.5,02/07/2012,,
02127,MA,3.055,12678.25,02/10/2012,,
02124,MA,7.05,29257.5,02/10/2012,,
01569,MA,6.11,25356.5,02/10/2012,,
02126,MA,5.76,26956.8,02/10/2012,,
01085,MA,5.17,24196.0,02/08/2012,,
02771,MA,7.05,36730.5,02/10/2012,,
02766,MA,4.23,22038.3,02/10/2012,,
01118,MA,5.28,24196.0,02/07/2012,,
01062,MA,5.98,40931.0,08/23/2012,,
01566,MA,9.6,42693.0,02/07/2012,,
01420,MA,5.64,28764.0,02/10/2012,,
01826,MA,7.6,58748.0,02/07/2012,,
02131,MA,7.52,29704.0,01/24/2012,,
01844,MA,7.285,43550.0,01/24/2012,,
02110,MA,4.41,20515.5,01/24/2012,,
02186,MA,7.05,53439.0,09/17/2012,,
01921,MA,5.64,23406.0,01/24/2012,,
02131,MA,7.68,40548.16,01/24/2012,,
02128,MA,5.17,21455.0,01/24/2012,,
