Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MD
21209,MD,10.44,33000,10/11/2015,,
21014,MD,8.82,34055,12/18/2014,,
21850,MD,10.2,38270.0,11/07/2014,,
21801,MD,6.0,23960.0,12/15/2014,,
21838,MD,141.96,421300.0,12/31/2014,,
21629,MD,176.4,483720.0,12/31/2014,,
21853,MD,12.0,44910.0,12/31/2014,,
21842,MD,9.3,41400.0,12/30/2014,,
21601,MD,42.0,155000.0,12/09/2014,,
21625,MD,10.5,40000.0,12/29/2014,,
21632,MD,85.2,271100.0,12/17/2014,,
21811,MD,114.0,321700.0,12/04/2014,,
21793,MD,6.72,33160.0,12/15/2014,,
21155,MD,74.1,175500.0,11/15/2014,,
21771,MD,282.0,704931.0,11/14/2014,,
20711,MD,9.6,35330.0,09/10/2014,,
21643,MD,147.0,418800.0,08/20/2014,,
21829,MD,108.5,327200.0,09/30/2014,,
21821,MD,10.2,33620.0,09/29/2014,,
21822,MD,12.0,35900.0,09/23/2014,,
21865,MD,15.9,50320.0,09/12/2014,,
21629,MD,31.5,106900.0,08/27/2014,,
21155,MD,17.49,60130.0,07/11/2014,,
21057,MD,1230.0,,06/24/2014,,
20854,MD,110.0,,12/14/2009,,
21918,MD,21.0,56810.0,06/26/2014,,
21053,MD,27.0,105700.0,06/30/2014,,
21701,MD,216.0,613300.0,06/20/2014,,
21601,MD,7.95,28170.0,06/30/2014,,
21801,MD,91.2,273700.0,06/09/2014,,
21853,MD,15.9,47080.0,05/30/2014,,
21853,MD,6.6,22990.0,05/20/2014,,
21804,MD,24.5,105400.0,05/08/2014,,
21863,MD,8.215,30940.0,05/05/2014,,
21863,MD,12.6,43890.0,04/28/2014,,
21640,MD,11.5,35765.0,04/23/2014,,
21830,MD,7.0,23520.0,04/17/2014,,
21874,MD,31.5,98630.0,04/18/2014,,
21850,MD,1.0,5980.0,04/01/2014,,
21863,MD,9.0,28110.0,04/04/2014,,
21903,MD,2138.0,,07/01/2014,,
20613,MD,1339.8,,05/15/2013,,
21713,MD,48.96,,11/20/2012,,
21117,MD,24.075,,12/14/2011,,
21619,MD,10.2,,01/09/2013,,
21042,MD,40.32,,10/08/2012,,
21031,MD,25.08,,01/25/2013,,
21851,MD,414.54,,12/21/2012,,
21224,MD,355.68,,01/01/2013,,
21244,MD,1116.72,,03/15/2012,,
21222,MD,21.6,,04/05/2012,,
21791,MD,99.45,,03/07/2013,,
21401,MD,187.2,,03/09/2012,,
21401,MD,237.12,,03/09/2012,,
20716,MD,14.88,,03/26/2013,,
21042,MD,91.65,,03/14/2013,,
21740,MD,198.9,,04/17/2013,,
21771,MD,14.805,,04/12/2013,,
20650,MD,34.11,,05/28/2013,,
21871,MD,0.96,4900.0,03/06/2014,,
21851,MD,9.6,31330.0,02/21/2014,,
21863,MD,24.0,79780.0,02/14/2014,,
21874,MD,70.0,216500.0,02/14/2014,,
21617,MD,12.24,,03/08/2013,,
21613,MD,10.64,,03/16/2009,,
21613,MD,33.06,,03/16/2009,,
21776,MD,3.2,21000.0,10/25/1997,,
21704,MD,3.6,16100.0,10/15/2013,,
21155,MD,6.86,32840.0,10/07/2013,,
21108,MD,10.5,42400.0,10/15/2013,,
21849,MD,8.0,28650.0,11/13/2013,,
21822,MD,31.2,111100.0,12/31/2013,,
21871,MD,59.4,178850.0,12/27/2013,,
21830,MD,11.0,35770.0,10/16/2013,,
21625,MD,21.6,71280.0,11/11/2013,,
21863,MD,11.0,47030.0,12/14/2013,,
21850,MD,12.0,45820.0,12/13/2013,,
21837,MD,14.0,45420.0,12/04/2013,,
21804,MD,10.0,41640.0,12/18/2013,,
20657,MD,4.7,24000.0,03/07/2006,,
20777,MD,199.92,,12/26/2012,,
21613,MD,799.19,,12/04/2012,,
21740,MD,38.64,,11/16/2012,,
21061,MD,501.76,,09/28/2011,,
20878,MD,238.0,,12/18/2009,,
20906,MD,92.4,,12/11/2009,,
21661,MD,592.2,,12/18/2012,,
20837,MD,19.36,,09/10/2012,,
21040,MD,270.9,,06/09/2011,,
21044,MD,40.56,,08/15/2011,,
21617,MD,49.68,283000.0,08/25/2011,,
21793,MD,2.76,,08/17/2011,,
21085,MD,299.2,,06/09/2011,,
20686,MD,11.92,,07/27/2011,,
21849,MD,8.1,,07/15/2011,,
21015,MD,262.08,,06/09/2011,,
21047,MD,185.64,,06/09/2011,,
21014,MD,106.59,,06/09/2011,,
20603,MD,59.22,,02/28/2013,,
21001,MD,148.512,,06/09/2011,,
21043,MD,125.58,,03/11/2011,,
21921,MD,74.06,,03/11/2011,,
21404,MD,125.58,,03/11/2011,,
20785,MD,278.005,,02/16/2011,,
21740,MD,902.88,,07/29/2010,,
21740,MD,50.7,,11/16/2012,,
21623,MD,98.56,,12/20/2012,,
21617,MD,1000.0,,11/26/2013,,
21617,MD,2370.0,,11/26/2013,,
21227,MD,275.0,,05/29/2013,,
21921,MD,308.0,,12/28/2012,,
20708,MD,402.3,,10/15/2013,,
21210,MD,36.66,,11/18/2011,,
21804,MD,668.5,,11/04/2013,,
21155,MD,0.5,3380.0,08/20/2013,,
21053,MD,6.37,20223.2,08/02/2013,,
21875,MD,12.0,48390.0,09/20/2013,,
21631,MD,7.35,32500.0,09/14/2013,,
21822,MD,52.5,242112.0,09/20/2013,,
21601,MD,10.2,38683.61,08/12/2013,,
21841,MD,6.5,22319.96,08/15/2013,,
21863,MD,19.6,79328.0,08/12/2013,,
21727,MD,253.0,,02/01/2013,,
21919,MD,40.56,,08/16/2013,,
21009,MD,7.65,13614.34,12/17/2012,,
21015,MD,934.0,,07/16/2013,,
20879,MD,3.15,14600.0,11/29/2009,,
