Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MN
56435,MN,12.3,0,04/09/2015,,
55320,MN,39.36,119360.0,09/10/2010,,
56093,MN,26.0,,10/01/2012,,
56003,MN,7.14,,04/01/2012,,
55927,MN,28.0,,08/01/2012,,
55441,MN,32.0,,05/01/2013,,
55431,MN,14.0,,02/01/2012,,
55423,MN,27.0,,09/01/2012,,
55429,MN,23.0,,03/01/2012,,
55424,MN,27.0,,11/01/2012,,
55428,MN,36.0,,08/01/2012,,
55396,MN,18.0,,05/01/2013,,
55121,MN,40.0,,07/01/2013,,
55033,MN,38.0,,12/01/2013,,
55987,MN,8.0,30160.0,12/04/2013,,
55910,MN,39.78,149866.2,10/18/2013,,
55987,MN,2.08,13499.0,08/12/2013,,
55991,MN,16.0,55130.0,07/11/2013,,
55964,MN,26.0,121490.0,10/04/2013,,
55105,MN,40.0,,08/29/2014,,
55744,MN,105.0,321000.0,11/01/2013,,
55960,MN,517.0,,06/30/2014,,
55104,MN,39.7,177850.0,06/30/2011,,
55902,MN,145.53,,07/31/2010,,
55407,MN,22.0,,12/31/2012,,
56258,MN,30.0,,06/01/2007,,
55387,MN,39.36,,03/19/2014,,
56304,MN,39.36,,03/06/2014,,
55340,MN,97.0,,10/13/1997,,
55415,MN,40.0,,03/31/2012,,
55120,MN,39.7,177145.0,12/01/2012,,
55103,MN,39.7,184865.0,03/01/2012,,
55102,MN,10.4,76880.0,06/01/2010,,
56572,MN,39.36,,11/26/2013,,
55418,MN,39.9,,11/22/2013,,
55012,MN,40.0,,09/01/2013,,
55117,MN,39.9,,09/01/2013,,
56373,MN,7.55,84000.0,04/01/2011,,
55373,MN,32.49,,09/09/2013,,
55406,MN,7.68,55000.0,12/01/2012,,
56601,MN,2.88,7000.0,10/13/1997,,
56063,MN,3.15,,06/15/2009,,
55421,MN,14.7,,01/23/2009,,
55406,MN,7.6,72000.0,10/17/2008,,
55082,MN,1.68,,07/31/2008,,
55047,MN,1.84,,05/12/2008,,
55057,MN,4.6,,06/10/2007,,
55319,MN,4.3,33566.0,03/21/2008,,
56470,MN,35.0,119400.0,01/01/2013,,
55044,MN,200.0,750000.0,10/01/2012,,
55114,MN,7.92,34355.0,09/01/2011,,
55110,MN,100.0,787000.0,08/31/2008,,
55033,MN,15.0,95543.0,12/15/2010,,
55073,MN,4.14,37455.56822,11/11/2009,,
55804,MN,3.6,29444.95398,04/29/2008,,
55411,MN,4.1,46887.34385,12/15/2003,,
55803,MN,2.672,26720.33997,07/26/2006,,
55803,MN,2.528,16286.04057,09/01/2004,,
55424,MN,3.8,38765.96443,01/17/2007,,
55406,MN,1.6,17857.61594,01/26/2005,,
55804,MN,2.528,25538.1686,07/11/2005,,
55446,MN,3.9,46819.59096,01/11/2008,,
55804,MN,1.3,20781.94319,11/09/2006,,
55371,MN,2.56,36812.33807,02/20/2007,,
