Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MO
63555,MO,12.6,42684,02/11/2011,,
65757,MO,4950.0,,06/26/2014,,
65775,MO,1.8,,12/23/2011,,
64720,MO,25,,07/08/2013,,
64772,MO,10.0,,11/26/2013,,
64772,MO,15.0,,11/26/2013,,
64772,MO,25.0,,11/26/2013,,
64724,MO,25.0,,11/20/2013,,
64772,MO,15.5,,11/15/2013,,
64772,MO,24.75,,11/01/2013,,
64772,MO,18.75,,10/10/2013,,
64772,MO,12.0,,10/08/2013,,
64772,MO,16.75,,10/01/2013,,
65360,MO,11.25,,08/07/2013,,
64772,MO,8.25,,09/24/2013,,
64772,MO,19.0,,09/17/2013,,
64772,MO,8.25,,08/21/2013,,
64765,MO,10.0,,08/14/2013,,
64772,MO,25.75,,08/02/2013,,
64720,MO,20.75,,07/30/2013,,
64772,MO,11.25,,07/16/2013,,
64772,MO,9.0,,06/04/2013,,
64772,MO,9.5,,05/28/2013,,
64772,MO,8.25,,05/21/2013,,
64772,MO,16.0,,05/14/2013,,
64765,MO,20.58,,05/07/2013,,
64765,MO,8.82,,04/30/2013,,
64765,MO,24.26,,04/23/2013,,
64779,MO,24.255,,04/10/2013,,
64779,MO,4.0,,01/05/2011,,
64779,MO,0.44,,06/01/2007,,
64080,MO,6.58,,11/12/2012,,
64772,MO,17.64,,11/15/2012,,
64772,MO,9.0,,01/15/2013,,
64720,MO,32.34,,01/01/2013,,
64772,MO,25.0,,04/30/2013,,
65203,MO,12.0,,04/28/2011,,
65201,MO,10.0,,10/31/2011,,
65201,MO,5.0,,10/31/2011,,
65202,MO,5.0,,09/30/2010,,
65201,MO,30.0,,03/13/2013,,
65203,MO,2.04,,12/18/2012,,
65203,MO,1.175,,07/16/2012,,
65203,MO,3.87,,05/13/2011,,
65203,MO,4.84,,02/09/2012,,
65203,MO,2.3,,04/21/2009,,
65203,MO,2.52,,02/18/2013,,
63385,MO,9.56,40056.4,02/20/2013,,
63301,MO,13.475,54034.75,01/17/2013,,
63051,MO,25.48,102174.8,01/15/2013,,
63011,MO,5.88,24637.2,01/14/2013,,
63303,MO,7.84,32849.6,12/27/2012,,
63025,MO,7.105,29769.95,12/21/2012,,
63376,MO,20.58,82525.8,12/21/2012,,
63385,MO,24.99,100209.9,12/20/2012,,
63366,MO,9.75,40852.5,04/30/2013,,
63303,MO,25.0,100250.0,04/08/2013,,
63303,MO,8.5,35615.0,04/08/2013,,
63366,MO,12.96,51969.6,03/30/2013,,
63129,MO,8.88,37207.2,03/20/2013,,
63010,MO,12.48,50044.8,03/11/2013,,
63385,MO,9.56,40056.4,03/06/2013,,
63390,MO,7.68,32179.2,02/20/2013,,
63366,MO,5.04,21117.6,02/06/2013,,
63052,MO,7.68,32179.2,02/05/2013,,
63385,MO,25.0,100250.0,01/31/2013,,
63126,MO,9.84,41229.6,01/17/2013,,
63028,MO,5.52,23128.8,01/14/2013,,
63050,MO,9.84,41229.6,01/07/2013,,
63376,MO,7.92,33184.8,01/03/2013,,
63128,MO,3.84,16704.0,01/03/2013,,
63303,MO,6.72,28156.8,12/27/2012,,
63025,MO,9.84,41229.6,12/21/2012,,
63016,MO,9.84,41229.6,12/18/2012,,
63050,MO,8.64,36201.6,11/20/2012,,
63052,MO,12.48,50044.8,11/13/2012,,
63303,MO,3.84,16704.0,11/12/2012,,
63050,MO,9.8,41062.0,11/08/2012,,
63366,MO,9.12,38212.8,11/06/2012,,
63052,MO,8.57,35908.3,10/19/2012,,
63010,MO,7.92,33184.8,10/17/2012,,
63038,MO,9.75,40852.5,10/11/2012,,
63052,MO,8.33,34902.7,10/10/2012,,
63303,MO,6.37,26690.3,10/05/2012,,
63104,MO,8.09,33897.1,09/04/2012,,
63020,MO,8.0,33520.0,07/31/2012,,
63011,MO,6.5,27235.0,07/17/2012,,
63128,MO,8.0,33520.0,07/17/2012,,
63376,MO,9.56,40056.4,07/16/2012,,
63366,MO,6.5,27235.0,07/14/2012,,
63366,MO,8.25,34567.5,07/14/2012,,
63031,MO,24.99,98753.0,01/05/2013,,
63031,MO,24.99,98753.0,01/04/2013,,
