Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MS
39667,MS,9.95,32835,05/12/2015,,
39740,MS,3.36,12359,10/21/2015,,
39752,MS,2.34,10700,09/29/2015,,
39051,MS,9.1,30849,07/28/2015,,
39341,MS,14.3,47891,08/19/2015,,
38611,MS,18.36,61322,09/02/2015,,
39083,MS,3.12,10796,08/20/2014,,
39701,MS,10.0,33200.0,02/26/2015,,
39702,MS,10.0,32100.0,01/22/2015,,
39465,MS,8.5,25627,10/13/2014,,
39759,MS,9.0,23000.0,12/12/2014,,
39305,MS,5.1,16830.0,09/27/2014,,
39145,MS,6.89,22720.0,07/17/2014,,
38828,MS,49.5,219590.0,08/16/2014,,
39051,MS,6.0,19800.0,06/25/2014,,
38916,MS,6.5,22100.0,07/10/2014,,
39750,MS,0.57,2057.0,03/03/2014,,
39773,MS,10.5,32084.0,05/07/2014,,
38652,MS,6.0,21389.0,02/18/2014,,
39464,MS,12.0,52800.0,04/28/2014,,
38652,MS,6.0,20400.0,10/29/1997,,
39482,MS,9.75,33000.0,01/03/2014,,
39170,MS,5.5,18425.0,12/03/2013,,
38606,MS,9.75,33000.0,11/29/2013,,
39759,MS,6.4,21188.0,10/09/2013,,
39149,MS,3.0,11850.0,09/12/2013,,
39759,MS,6.82,21020.0,09/03/2013,,
39465,MS,4.77,15741.0,08/23/2013,,
39740,MS,3.18,,07/30/2013,,
39090,MS,9.52,34344.0,06/26/2013,,
39759,MS,1.9,6460.0,06/05/2013,,
39111,MS,1.41,7050.0,09/12/2012,,
39083,MS,5.82,18915.0,02/02/2012,,
39750,MS,5.17,20732.0,05/10/2012,,
39759,MS,4.9,19895.0,01/11/2012,,
38655,MS,6.0,19200.0,11/22/2012,,
39402,MS,11.2,38080.0,02/27/2013,,
39402,MS,8.1,21746.0,04/30/2013,,
38828,MS,50.0,229798.0,04/22/2013,,
39759,MS,2.25,11990.0,12/30/2011,,
39074,MS,2.88,14400.0,02/16/2012,,
39110,MS,4.6,22000.0,11/01/2011,,
38673,MS,3.68,22000.0,08/20/2011,,
39057,MS,1.29,9900.0,08/17/2011,,
39307,MS,3.45,24150.0,06/24/2011,,
38655,MS,0.69,7500.0,06/09/2011,,
38652,MS,2.76,25000.0,06/15/2011,,
39648,MS,7.59,53889.0,08/15/2011,,
39503,MS,4.896,,04/22/2010,,
39051,MS,37.5,321000.0,08/31/2010,,
39094,MS,52.0,400000.0,01/17/2011,,
39339,MS,59.34,480428.0,12/28/2010,,
39730,MS,6.9,48300.0,03/15/2011,,
38930,MS,32.9,199000.0,03/25/2011,,
38828,MS,0.569999993,,06/09/2010,,
38655,MS,2.0,,11/19/2009,,
39051,MS,8.399999619,,09/02/2009,,
38801,MS,5.0,30000.0,06/15/2009,,
39180,MS,0.5,,08/20/2010,,
39339,MS,13.5,103500.0,08/30/2010,,
38866,MS,2.58,20640.0,07/29/2010,,
38655,MS,6.45,55100.0,07/31/2010,,
38655,MS,5.1,43500,02/03/2010,,
39051,MS,8.4,79800,02/15/2009,,
38655,MS,1.7,10320,10/20/2009,,
39051,MS,2.8,24080,02/16/2009,,
39051,MS,2.2,19690,08/12/2008,,
39752,MS,1.7,14792,04/13/2010,,
39232,MS,2.8,24080,04/20/2009,,
39702,MS,3.2,19500,11/16/2009,,
38677,MS,108.52,706040.0,12/07/2011,,
