Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NC
27513,NC,4.2,20000.0,03/19/2013,,
27514,NC,4.94,27000.0,02/01/2012,,
27101,NC,1.88,11000.0,10/13/1997,,
27406,NC,4.6,25000.0,02/01/2012,,
28714,NC,17.4,73000.0,10/13/2011,,
27408,NC,12.0,60000.0,12/21/2011,,
27401,NC,55.62,190000.0,04/15/2011,,
27320,NC,111.0,475000.0,12/30/2010,,
28803,NC,3.15,26000.0,10/11/2012,,
27607,NC,1000.0,,12/17/2008,,
28086,NC,5000.0,,01/12/2012,,
28203,NC,8.4,,06/11/2009,,
28753,NC,26.88,108000.0,05/30/2011,,
27312,NC,99.0,660000.0,07/21/2011,,
28092,NC,5.16,,03/11/2010,,
28715,NC,48.6,250000.0,12/29/2010,,
27013,NC,358.8,,12/29/2010,,
27960,NC,2.3,,01/19/2011,,
28217,NC,528.08,,11/03/2010,,
28806,NC,250.0,1375000.0,01/20/2011,,
28732,NC,41.58,181932.0,12/15/2010,,
27331,NC,31.2,158000.0,09/18/2011,,
28208,NC,2171.2,,10/15/2010,,
27341,NC,9.36,,12/29/2010,,
28405,NC,4.5,33500.0,12/30/2011,,
27563,NC,499.2,3000000.0,08/22/2011,,
27705,NC,3.0,26000.0,05/20/1998,,
28146,NC,5.6,34000.0,11/01/2010,,
27519,NC,4.7,,01/21/2011,,
28208,NC,306.0,,11/30/2010,,
28904,NC,4.96999979,,05/17/2010,,
28906,NC,10.0,,09/30/2009,,
28461,NC,3.2,22000.0,04/01/2010,,
27278,NC,4.2,33485.0,02/08/2008,,
27516,NC,2.4,21679.64,12/05/2006,,
28704,NC,224.25,,11/30/2010,,
27932,NC,4.62,29218,02/11/2009,,
28804,NC,4.4,30000,02/11/2010,,
28739,NC,8.63,71934,02/01/2010,,
28714,NC,4.6,38000,12/30/2009,,
27712,NC,3,25000,05/20/2008,,
28805,NC,5.16,,01/16/2009,,
27601,NC,75.6,605000,01/15/2008,,
28806,NC,5.3,,12/30/2009,,
28713,NC,7.2,,03/04/2009,,
28787,NC,3.6,,08/29/2009,,
28712,NC,1.89,,02/17/2009,,
28401,NC,1189,,01/01/2008,,
28804,NC,2.1,20300,04/29/2008,,
28748,NC,3.8,,12/28/2009,,
28805,NC,4.55,32500,04/03/2008,,
28751,NC,3.15,,05/01/2009,,
28772,NC,5.28,44500,04/04/2010,,
27889,NC,1.8,38000,04/30/2007,,
27511,NC,250,,12/01/2009,,
28711,NC,1.8,,04/17/2009,,
28786,NC,2,,05/21/2009,,
28383,NC,6400.0,,06/01/2012,,
27573,NC,1250.0,,10/31/2011,,
28401,NC,1000.0,,04/09/2012,,
28681,NC,1000.0,,10/01/2010,,
27804,NC,1000.0,,12/18/2008,,
27962,NC,2000.0,,01/12/2012,,
28906,NC,1000.0,,05/11/2012,,
28906,NC,1000.0,,05/11/2012,,
27855,NC,5000.0,,06/01/2011,,
27822,NC,1500.0,,06/21/2012,,
27610,NC,1000.0,,01/08/2012,,
28906,NC,1000.0,,04/11/2012,,
28906,NC,1000.0,,03/11/2012,,
28152,NC,1000.0,,05/26/2010,,
27292,NC,17000.0,,01/26/2011,,
28681,NC,1200.0,,10/10/2011,,
28752,NC,0.92,6500,03/19/2010,,
28716,NC,450,,12/30/2009,,
