Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NE
68111,NE,9.0,30600.0,10/17/2014,,
68847,NE,2.0,,10/12/2013,,
68503,NE,10.0,48440.0,06/12/2013,,
68770,NE,4.56,,05/07/2014,,
68110,NE,60.0,,04/01/2011,,
68728,NE,1.337,6685.0,05/06/2012,,
68061,NE,14.0,123250.0,10/15/2010,,
68702,NE,45.6,413685.0,08/31/2010,,
68506,NE,2.0,,03/13/2003,,
68523,NE,4.2,,09/30/2009,,
68508,NE,5.3,50000.0,02/23/2011,,
68178,NE,20.5,,06/14/2010,,
69162,NE,1.05,6995.0,02/24/2011,,
68164,NE,5.46,,09/01/2010,,
69341,NE,5.775,,06/21/2014,,
68022,NE,4.8,48000,06/13/2002,,
68178,NE,85.0,,08/13/2010,,
