Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NH
03824,NH,1.53,5000,06/18/2015,,
03104,NH,19.08,,08/09/2013,,
03222,NH,15.0,44850.0,07/25/2013,,
03833,NH,13.26,,03/07/2014,,
03750,NH,5.33,15000.0,08/10/2010,,
03824,NH,7.54,37067.0,07/25/2013,,
03824,NH,7.28,25936.0,03/08/2014,,
03823,NH,3.9,17500.0,03/26/2011,,
03824,NH,120.0,410000.0,12/23/2013,,
03824,NH,4.85,15000.0,07/24/2013,,
03431,NH,127.68,898100.0,05/07/2013,,
03278,NH,1.23,,12/01/2009,,
03079,NH,2.16,,09/05/2008,,
03301,NH,13.8,,12/05/2011,,
03062,NH,9.6,,06/29/2009,,
03101,NH,14.04,,10/07/2009,,
,NH,7.8,42156.55935,12/20/2013,,
03805,NH,6.48,24861.05064,12/01/2014,,
03801,NH,14.4,,02/26/2013,,
03824,NH,4.8,20369.0,10/09/2012,,
03824,NH,2.8,13384.0,03/21/2012,,
03216,NH,70.98,,01/11/2013,,
03257,NH,127.0,509000.0,11/30/2012,,
03053,NH,5.88,,09/21/2011,,
03878,NH,140.0,,11/06/2012,,
03781,NH,80.96,424100.0,01/11/2012,,
03264,NH,9.2,,12/21/2011,,
03861,NH,4.845,,02/24/2012,,
03824,NH,29.375,,12/29/2011,,
03431,NH,10.56,,06/05/2010,,
03833,NH,20.68,,05/15/2012,,
03053,NH,50.0,,10/18/2005,,
03246,NH,15.57,,09/21/2011,,
03818,NH,15.02,,06/03/2010,,
03827,NH,61.49,300000.0,10/25/2011,,
03827,NH,18.4,,10/05/2011,,
03053,NH,99.33,,05/10/2010,,
03103,NH,525.0,3300000.0,08/10/2012,,
03833,NH,97.65,,10/25/2010,,
03257,NH,41.4,,11/17/2011,,
03063,NH,10.8,,07/27/2011,,
03824,NH,2.0,13000.0,06/01/2009,,
03823,NH,3.76,17500.0,03/30/2012,,
03824,NH,3.86,18156.0,11/02/2011,,
03824,NH,4.8,18000.0,03/30/2012,,
03750,NH,0.4,3095.0,05/01/2010,,
03824,NH,4.59,12100.0,12/17/2011,,
03825,NH,1.1,3400.0,10/06/2006,,
03825,NH,0.9,12000.0,11/15/1997,,
03824,NH,3.0,28000.0,08/01/2007,,
03824,NH,2.99,16800.0,05/15/2011,,
03242,NH,4.6,26209.0,08/13/2010,,
03580,NH,2.3,17135.0,01/15/2010,,
03259,NH,2.176,15000.0,12/30/2009,,
03237,NH,1.05,15033.0,12/01/2009,,
03842,NH,3.22,22540.0,12/01/2009,,
03254,NH,4.73,26000.0,12/15/2009,,
03254,NH,4.73,30500.0,12/20/2009,,
03045,NH,1.88,15950.0,12/18/2009,,
03216,NH,2.04,18667.0,11/13/2009,,
03602,NH,2.05,22212.0,11/15/2009,,
03773,NH,0.92,2760.0,05/20/2009,,
03602,NH,0.52,1560.0,03/01/2009,,
03038,NH,2.24,6000.0,09/19/2008,,
03752,NH,0.738,2214.0,09/28/2008,,
03465,NH,1.75,5250.0,09/29/2009,,
03449,NH,0.42,1260.0,08/28/2009,,
03823,NH,4.2,6000.0,09/23/2009,,
03227,NH,4.29,6000.0,09/28/2009,,
03449,NH,2.58,6000.0,09/29/2009,,
03266,NH,1.02,3060.0,09/24/2009,,
03227,NH,4.68,6000.0,09/30/2009,,
03227,NH,2.05,6000.0,09/30/2009,,
03227,NH,4.68,6000.0,09/30/2009,,
03873,NH,1.5,4500.0,09/25/2009,,
03602,NH,2.76,6000.0,09/30/2009,,
03227,NH,2.73,6000.0,09/22/2009,,
03215,NH,4.1,6000.0,09/28/2009,,
03224,NH,4.92,6000.0,09/29/2009,,
03581,NH,0.96,1823.15,10/20/2008,,
03087,NH,1.5,4500.0,09/29/2009,,
03779,NH,2.4,6000.0,08/27/2009,,
03450,NH,0.4,919.5,09/28/2009,,
03603,NH,2.1,6000.0,09/30/2009,,
03752,NH,2.1,6000.0,09/25/2009,,
03592,NH,0.6,1800.0,09/30/2009,,
03773,NH,2.1,6000.0,09/28/2009,,
03241,NH,2.05,6000.0,09/14/2009,,
03246,NH,2.05,6000.0,09/23/2009,,
03455,NH,3.5,6000.0,07/08/2009,,
03824,NH,2.76,6000.0,09/30/2009,,
03743,NH,2.1,6000.0,03/09/2009,,
03467,NH,2.7,6000.0,09/19/2009,,
03768,NH,0.68,2040.0,01/09/2009,,
03462,NH,2.7,6000.0,09/25/2009,,
03057,NH,3.01,6000.0,09/18/2009,,
03037,NH,2.38,6000.0,09/17/2009,,
03585,NH,3.36,6000.0,09/29/2009,,
03464,NH,2.45,6000.0,09/22/2009,,
03462,NH,1.8,5400.0,09/29/2009,,
03774,NH,4.92,6000.0,09/27/2009,,
03603,NH,4.0,6000.0,05/02/2009,,
03745,NH,4.92,6000.0,09/29/2009,,
03280,NH,1.62,4860.0,07/11/2009,,
03077,NH,2.1,6000.0,09/29/2009,,
03222,NH,3.9,6000.0,09/29/2009,,
03054,NH,2.16,6000.0,09/30/2009,,
03883,NH,4.92,6000.0,08/11/2009,,
03264,NH,1.6,2549.5,09/02/2009,,
03844,NH,2.108,6000.0,09/02/2009,,
03856,NH,1.7,5100.0,09/24/2009,,
03256,NH,2.05,5375.0,09/24/2009,,
03033,NH,2.16,6000.0,06/01/2009,,
03801,NH,3.36,6000.0,09/15/2009,,
03886,NH,3.5,6000.0,09/01/2009,,
03768,NH,2.4,6000.0,09/17/2009,,
03870,NH,3.42,6000.0,09/09/2009,,
03225,NH,2.04,6000.0,09/18/2009,,
03743,NH,2.28,6000.0,08/04/2009,,
03229,NH,4.725,6000.0,08/25/2009,,
03864,NH,3.15,6000.0,12/18/2008,,
03227,NH,3.28,6000.0,08/07/2009,,
03820,NH,2.178,6000.0,09/03/2009,,
03216,NH,3.6,6000.0,08/18/2009,,
03280,NH,3.075,6000.0,09/09/2009,,
03824,NH,1.05,3150.0,05/04/2009,,
03784,NH,2.66,6000.0,08/11/2009,,
03227,NH,3.28,6000.0,07/29/2009,,
03070,NH,4.9,6000.0,08/13/2009,,
03269,NH,4.94,6000.0,08/13/2009,,
03748,NH,2.46,5769.0,08/27/2009,,
03781,NH,3.36,6000.0,08/03/2009,,
03741,NH,1.75,5250.0,08/30/2008,,
03601,NH,1.36,4080.0,07/29/2009,,
03287,NH,4.0,6000.0,08/17/2009,,
03249,NH,2.05,6000.0,05/21/2009,,
03077,NH,2.16,6000.0,08/05/2009,,
03224,NH,4.68,6000.0,12/20/2009,,
03770,NH,3.8,6000.0,04/02/2009,,
03470,NH,2.736,6000.0,05/14/2009,,
03244,NH,0.81,2430.0,07/03/2009,,
03841,NH,4.68,6000.0,07/01/2009,,
03051,NH,4.92,6000.0,08/13/2009,,
03241,NH,2.52,6000.0,12/10/2008,,
03820,NH,2.1,6000.0,07/08/2008,,
03431,NH,3.04,6000.0,07/16/2009,,
03818,NH,3.36,6000.0,08/06/2009,,
03603,NH,2.0,6000.0,07/20/2008,,
03063,NH,2.1,6000.0,01/27/2009,,
03049,NH,3.69,6000.0,07/06/2009,,
03580,NH,3.15,6000.0,07/29/2009,,
03784,NH,3.42,6000.0,07/15/2009,,
03038,NH,2.0,6000.0,01/22/2009,,
03823,NH,4.2,6000.0,07/25/2009,,
03603,NH,2.0,6000.0,07/22/2009,,
03755,NH,3.8,6000.0,08/29/2008,,
03223,NH,2.0,6000.0,05/15/2009,,
03253,NH,3.15,6000.0,06/16/2009,,
03801,NH,3.15,6000.0,04/30/2009,,
03598,NH,4.18,6000.0,11/05/2008,,
03825,NH,4.68,6000.0,10/20/2008,,
