Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NJ
08850,NJ,9.76,,01/30/2016,,
08527,NJ,7.595,,02/24/2014,,
07094,NJ,838.0,,12/09/2010,,
07094,NJ,1070.0,,12/09/2010,,
07512,NJ,1029.0,,06/26/2014,,
08360,NJ,2900.0,,10/01/2012,,
08525,NJ,8.0,28220.0,06/18/2014,,
08086,NJ,9.7,33000.0,02/14/2014,,
07601,NJ,1050.92,,12/20/2012,,
07306,NJ,519.775,,08/30/2012,,
08054,NJ,473.0,,08/12/2013,,
08077,NJ,98.74,395947.4,12/27/2012,,
08110,NJ,35.28,141472.8,12/30/2011,,
07083,NJ,124.41,,05/15/2012,,
07630,NJ,200.97,,04/05/2012,,
07940,NJ,9.43,59700.0,12/20/2010,,
07731,NJ,216.92,,05/15/2012,,
07470,NJ,200.97,,05/15/2012,,
08753,NJ,213.73,,06/08/2012,,
07094,NJ,517.968,,04/01/2013,,
07652,NJ,146.496,,02/27/2013,,
08512,NJ,1998.36,,02/20/2013,,
08807,NJ,567.84,,03/19/2013,,
07105,NJ,433.0,,08/13/2012,,
07470,NJ,260.12,,01/03/2011,,
07630,NJ,285.6,,01/03/2011,,
07643,NJ,28.665,,07/02/2012,,
07643,NJ,15.9,,07/06/2012,,
07643,NJ,31.9,,06/20/2012,,
07094,NJ,194.285,,09/07/2012,,
07643,NJ,149.69,,09/07/2012,,
07643,NJ,117.845,,09/07/2012,,
07094,NJ,152.88,,09/27/2012,,
07094,NJ,423.605,,09/25/2012,,
08807,NJ,939.578,,02/21/2013,,
07656,NJ,229.125,,04/20/2012,,
07105,NJ,89.18,,01/18/2012,,
07114,NJ,198.58,,02/26/2013,,
08807,NJ,510.4,,05/02/2013,,
07059,NJ,366.85,,03/28/2013,,
07069,NJ,133.98,,05/07/2013,,
08027,NJ,1115.52,,02/19/2013,,
07866,NJ,4928.35,,03/12/2013,,
07506,NJ,745.875,,11/30/2010,,
08753,NJ,3.315,,11/03/2014,,
07604,NJ,3.75,,12/10/2014,,
08724,NJ,2.98,37547.55456,02/27/2002,,
07728,NJ,15,181475.8011,09/23/2002,,
08757,NJ,8.16,,10/07/2014,,
07470,NJ,5.1,,07/16/2014,,
07004,NJ,10.2,,10/02/2014,,
08731,NJ,6,,12/10/2014,,
08006,NJ,2.8,31407.76119,12/11/2002,,
08859,NJ,6.375,,07/31/2014,,
08816,NJ,11.985,,10/24/2014,,
07016,NJ,2.7,,12/31/2014,,
08755,NJ,5.5,,06/03/2014,,
07627,NJ,2.26,21214.07359,04/15/2002,,
08081,NJ,4.8,,04/29/2014,,
08869,NJ,3.5,,06/13/2014,,
08721,NJ,5.1,,02/11/2014,,
08332,NJ,12.25,,07/03/2014,,
07753,NJ,8.25,,03/03/2014,,
07052,NJ,5.635,,08/18/2014,,
08757,NJ,11.985,,10/21/2014,,
08270,NJ,7.14,,10/01/2014,,
