Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NM
88310,NM,4.1,26000,12/15/2015,,
87508,NM,4.85,17568.0,02/24/2015,,
87123,NM,5.04,18000.0,05/01/2014,,
87031,NM,1.4,,06/10/2010,,
87031,NM,1.35,21000.0,10/13/1997,,
87106,NM,2.1,14000.0,10/13/1997,,
88352,NM,10.5,22500.0,12/28/2012,,
88201,NM,2.616,16693.71657,04/24/2014,,
,NM,5.28,35221.80032,08/02/2012,,
87540,NM,5.886,31816.02796,06/17/2014,,
,NM,11.28,56119.94727,03/02/2012,,
88061,NM,11.772,63896.87432,10/16/2014,,
,NM,7.848,41184.85927,09/27/2013,,
,NM,5.64,30831.45009,03/10/2012,,
88007,NM,4,8822.560621,05/13/2014,,
87937,NM,5.64,43889.13317,07/06/2013,,
87010,NM,9.81,53199.87118,06/28/2014,,
88062,NM,6,23714.1389,08/07/2014,,
87508,NM,70.0,,03/02/2010,,
87109,NM,1146.6,,10/13/1997,,
87043,NM,4.23,46000.0,12/23/2010,,
87025,NM,1.5,30000.0,12/23/2010,,
87505,NM,8.4,48000.0,11/19/2010,,
87544,NM,2.3,20680.0,10/18/2010,,
87506,NM,2.0,19000.0,08/06/2007,,
87544,NM,4.8,40000.0,09/18/2009,,
87025,NM,1.4,12000.0,07/06/2007,,
87111,NM,3,33000,12/19/2008,,
87048,NM,4,33000,09/15/2009,,
88341,NM,3.1,21900,04/17/2006,,
88341,NM,10,81500,12/23/2008,,
87106,NM,1.2,3000,05/15/2004,,
88345,NM,10,81900,12/27/2008,,
87104,NM,3.1,23500,07/31/2009,,
88011,NM,1.2,7500,04/12/2010,,
88341,NM,3.1,21900,04/06/2009,,
87109,NM,6.11,34301.05,05/18/2012,,
87104,NM,2.88,25932.0,01/12/2012,,
87120,NM,4.2,24108.0,02/08/2012,,
87124,NM,4.32,25906.0,01/26/2012,,
87004,NM,2.3,13717.25,07/17/2012,,
88005,NM,2.4,12079.0,01/13/2012,,
87114,NM,3.12,21006.0,02/09/2012,,
87114,NM,6.48,45635.0,01/30/2012,,
88007,NM,3.84,19266.0,01/25/2012,,
88012,NM,2.88,14597.0,01/17/2012,,
88011,NM,5.28,26453.0,01/18/2012,,
87144,NM,5.76,38334.0,02/03/2012,,
87508,NM,2.07,11900.0,02/07/2012,,
87048,NM,4.14,9714.57,01/23/2012,,
87110,NM,2.52,16722.15,02/17/2012,,
87111,NM,4.6,23000.0,02/09/2012,,
87048,NM,6.3,37815.0,02/10/2012,,
87110,NM,2.52,15753.29,02/06/2012,,
88011,NM,4.32,22042.0,02/03/2012,,
88061,NM,6.63,37700.0,01/27/2012,,
88001,NM,4.8,25100.0,02/10/2012,,
88072,NM,1.44,8960.0,02/09/2012,,
88011,NM,3.12,16612.0,02/01/2012,,
88011,NM,2.88,15729.0,02/16/2012,,
88011,NM,4.56,23686.0,02/08/2012,,
87059,NM,4.8,31694.0,02/15/2012,,
87008,NM,5.04,30082.0,02/27/2012,,
87508,NM,2.88,16649.28,02/13/2012,,
88005,NM,5.28,26453.0,01/26/2012,,
88007,NM,4.8,24500.0,02/13/2012,,
88011,NM,3.84,19266.0,01/27/2012,,
88007,NM,2.88,15014.0,02/13/2012,,
88011,NM,3.36,16870.0,01/30/2012,,
87123,NM,5.46,33731.19,01/23/2012,,
87701,NM,7.14,40148.9,02/22/2012,,
88012,NM,3.45,16889.0,02/09/2012,,
87505,NM,3.68,22378.0,02/20/2012,,
87505,NM,2.4,13642.13,02/20/2012,,
88011,NM,4.165,19000.0,02/12/2012,,
88011,NM,5.28,26453.0,01/10/2012,,
87107,NM,3.15,32655.0,03/01/2012,,
87008,NM,2.3,14292.0,02/24/2012,,
87821,NM,4.32,23522.28,03/03/2012,,
88011,NM,3.43,17144.0,02/22/2012,,
88001,NM,3.36,16870.0,02/16/2012,,
88012,NM,6.96,37578.0,01/31/2012,,
87123,NM,2.025,6220.0,01/29/2012,,
87111,NM,3.36,22318.65,02/29/2012,,
87124,NM,5.544,29151.61,03/07/2012,,
87105,NM,3.84,19600.0,03/20/2012,,
87122,NM,6.3,36785.0,03/23/2012,,
87048,NM,4.914,29425.0,03/30/2012,,
87031,NM,6.9,38515.15,03/09/2012,,
87105,NM,3.68,26347.0,02/29/2012,,
87123,NM,4.62,28339.0,03/15/2012,,
87110,NM,3.84,34715.0,02/22/2012,,
87503,NM,5.98,37953.0,02/23/2012,,
88011,NM,2.88,8740.2,01/17/2012,,
88011,NM,4.32,21662.2,01/10/2012,,
87801,NM,4.05,26062.5,01/23/2012,,
87505,NM,2.07,11900.0,03/21/2012,,
87144,NM,2.3,10700.0,02/23/2012,,
87109,NM,6.9,51622.0,02/01/2012,,
87109,NM,8.16,47362.0,03/14/2012,,
87505,NM,3.84,44620.31,02/21/2012,,
87108,NM,2.52,15916.0,02/08/2012,,
88061,NM,2.4,19430.0,03/15/2012,,
88007,NM,5.52,27755.0,02/07/2012,,
88004,NM,20.16,88929.0,03/23/2012,,
88005,NM,2.52,15835.0,03/20/2012,,
88004,NM,6.72,30356.0,03/23/2012,,
87505,NM,4.14,42694.98,01/07/2012,,
87104,NM,6.105,12853.91,03/14/2012,,
88046,NM,9.4,31010.0,04/05/2012,,
88011,NM,3.6,18068.5,01/13/2012,,
88007,NM,4.8,24592.0,03/08/2012,,
88011,NM,4.32,22100.0,03/01/2012,,
88011,NM,1.2,7752.0,03/26/2012,,
87540,NM,2.76,28526.0,04/05/2012,,
88047,NM,6.9,31718.0,02/20/2012,,
87048,NM,1.92,10980.0,03/28/2012,,
87122,NM,9.87,56353.12,02/29/2012,,
87514,NM,7.755,40000.0,03/09/2012,,
87015,NM,9.28,16912.0,03/19/2012,,
87106,NM,2.58,16330.0,02/17/2012,,
87120,NM,5.76,35410.0,03/02/2012,,
87105,NM,7.392,46649.2,04/04/2012,,
87505,NM,2.025,9483.75,04/16/2012,,
88011,NM,4.8,24058.0,02/17/2012,,
88007,NM,5.04,25700.0,03/01/2012,,
88007,NM,4.32,22030.0,03/30/2012,,
87508,NM,4.14,30446.0,04/05/2012,,
88062,NM,1.68,12023.0,04/25/2012,,
87113,NM,4.23,16950.0,04/06/2012,,
87111,NM,5.98,32558.95,04/17/2012,,
87122,NM,2.35,12254.85,04/10/2012,,
87144,NM,4.7,24000.0,03/21/2012,,
87109,NM,4.23,20502.58,04/10/2012,,
87506,NM,3.84,26697.0,04/17/2012,,
88011,NM,5.06,30470.0,02/22/2012,,
87106,NM,1.41,7606.83,04/13/2012,,
87114,NM,5.04,30057.0,03/12/2012,,
87122,NM,4.23,16950.0,04/06/2012,,
88001,NM,7.68,46631.0,03/23/2012,,
88007,NM,4.8,14395.39,01/17/2012,,
87107,NM,2.1,12765.0,04/05/2012,,
87043,NM,2.82,15502.0,04/16/2012,,
87507,NM,2.156,15875.0,03/22/2012,,
88007,NM,5.06,22621.0,03/15/2012,,
88007,NM,3.22,15874.0,04/26/2012,,
87506,NM,7.755,40451.1,02/12/2012,,
87105,NM,2.82,15063.66,04/27/2012,,
87110,NM,2.31,13321.24,03/27/2012,,
88011,NM,3.36,20562.0,05/01/2012,,
87122,NM,3.36,18871.0,04/06/2012,,
88007,NM,4.08,20530.0,05/01/2012,,
87102,NM,2.3,11741.77,03/25/2012,,
87031,NM,4.2,25735.0,03/30/2012,,
88011,NM,5.28,25450.0,03/23/2012,,
88012,NM,4.6,20673.0,04/27/2012,,
88007,NM,2.3,12606.0,04/26/2012,,
87107,NM,8.624,53526.2,05/26/2012,,
87506,NM,3.78,22874.0,05/14/2012,,
87108,NM,2.52,15123.29,03/02/2012,,
88012,NM,2.16,13538.0,04/02/2012,,
87111,NM,1.84,14961.0,01/25/2012,,
88005,NM,4.8,28336.0,03/30/2012,,
88005,NM,3.22,19032.0,04/19/2012,,
87543,NM,3.84,22500.0,02/17/2012,,
87537,NM,3.36,12966.0,05/01/2012,,
88052,NM,4.08,19972.0,02/24/2012,,
88005,NM,1.68,11828.0,05/24/2012,,
87111,NM,0.9,5588.63,05/25/2012,,
87508,NM,10.12,45440.0,05/22/2012,,
87107,NM,7.392,46007.58,05/04/2012,,
88011,NM,6.72,31600.0,04/03/2012,,
88012,NM,7.44,36354.0,03/28/2012,,
88011,NM,7.92,39872.0,03/22/2012,,
88011,NM,3.6,18894.0,05/09/2012,,
88005,NM,3.36,17300.0,03/23/2012,,
87701,NM,5.76,33984.03,06/12/2012,,
87120,NM,4.32,22500.0,05/29/2012,,
87571,NM,2.76,17462.0,06/12/2012,,
87508,NM,4.23,31205.0,04/03/2012,,
87506,NM,9.856,62189.0,04/17/2012,,
87031,NM,7.2,37827.0,05/24/2012,,
87521,NM,3.06,25325.0,05/31/2012,,
88007,NM,2.64,12540.0,01/25/2012,,
88007,NM,8.64,42680.0,02/24/2012,,
88011,NM,2.4,12079.0,01/18/2012,,
87113,NM,1.41,10537.68,05/04/2012,,
87564,NM,2.76,18288.8,03/26/2012,,
87505,NM,2.82,17330.5,05/29/2012,,
88011,NM,7.92,46417.0,04/02/2012,,
87122,NM,5.76,28740.0,06/12/2012,,
87048,NM,5.544,32695.06,06/18/2012,,
88011,NM,5.28,22837.0,02/01/2012,,
88011,NM,5.06,24937.0,05/15/2012,,
87112,NM,3.15,28995.5,04/05/2012,,
87111,NM,3.84,15589.6,06/12/2012,,
87106,NM,1.41,10134.0,01/13/2012,,
87004,NM,2.88,13466.8,06/18/2012,,
87001,NM,3.84,16880.0,01/04/2012,,
87544,NM,2.82,16308.0,05/23/2012,,
87008,NM,4.7,23385.0,06/08/2012,,
88011,NM,3.6,11057.56,06/01/2012,,
87505,NM,5.232,42544.8,06/06/2012,,
87107,NM,10.2,72250.0,06/08/2012,,
87501,NM,3.36,19330.0,04/17/2012,,
87109,NM,4.578,25944.6,05/18/2012,,
87506,NM,2.5,14377.0,06/06/2012,,
87002,NM,10.81,47996.4,06/01/2012,,
88011,NM,5.76,37762.0,05/17/2012,,
87048,NM,9.635,31116.52,05/02/2012,,
88061,NM,4.8,27940.0,06/04/2012,,
87114,NM,6.54,38642.0,06/13/2012,,
87122,NM,9.156,52738.5,07/06/2012,,
87104,NM,3.375,21143.75,02/15/2012,,
87111,NM,5.04,31294.0,06/14/2012,,
87571,NM,6.72,47784.57,04/24/2012,,
87501,NM,1.47,9376.0,04/03/2012,,
87508,NM,5.64,31166.0,06/12/2012,,
88011,NM,7.2,32540.0,04/26/2012,,
87124,NM,6.867,39538.6,06/07/2012,,
87507,NM,3.36,25278.0,05/29/2012,,
87059,NM,5.76,41742.11,07/16/2012,,
87108,NM,4.7,17135.14,04/26/2012,,
87508,NM,2.82,14830.0,06/06/2012,,
87535,NM,3.525,47402.96,05/22/2012,,
87107,NM,3.375,28798.74,02/06/2012,,
88011,NM,3.68,21171.0,02/01/2012,,
87120,NM,2.1,13339.0,05/22/2012,,
87120,NM,6.11,30183.4,04/23/2012,,
88012,NM,3.45,17251.0,02/22/2012,,
87120,NM,4.802,27402.4,07/20/2012,,
87507,NM,1.47,9743.5,04/19/2012,,
88007,NM,6.72,30648.0,05/16/2012,,
88011,NM,3.36,17344.0,05/04/2012,,
88011,NM,2.88,12979.0,05/24/2012,,
88011,NM,3.84,17272.0,05/18/2012,,
88013,NM,3.36,15558.0,06/05/2012,,
88007,NM,3.84,18535.0,06/08/2012,,
88011,NM,5.76,30463.0,04/26/2012,,
88007,NM,2.88,12979.0,05/16/2012,,
88011,NM,3.6,29999.0,06/27/2012,,
87031,NM,7.52,33568.88,06/12/2012,,
87505,NM,1.962,17032.0,06/06/2012,,
87505,NM,6.384,34050.89,06/20/2012,,
88011,NM,5.52,23728.0,05/25/2012,,
88012,NM,4.165,17986.0,06/09/2012,,
87505,NM,1.41,19116.0,06/01/2012,,
87508,NM,4.7,33970.0,05/08/2012,,
88011,NM,5.76,35636.0,04/11/2012,,
87105,NM,6.867,41993.0,07/24/2012,,
87144,NM,10.29,41500.0,05/30/2012,,
87047,NM,4.928,28935.28,05/03/2012,,
