Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NV
89081,NV,5.28,,09/27/2012,,
89081,NV,5.28,,09/26/2012,,
89081,NV,5.28,,09/21/2012,,
89081,NV,4.4,,09/21/2012,,
89081,NV,3.96,,09/21/2012,,
89081,NV,3.96,,09/05/2012,,
89081,NV,6.16,,09/04/2012,,
89081,NV,4.4,,08/16/2012,,
89081,NV,4.84,,07/24/2012,,
89081,NV,5.28,,07/17/2012,,
89128,NV,30.0,,11/16/2011,,
89149,NV,30.0,,11/08/2011,,
89101,NV,15.2,,08/23/2011,,
89101,NV,45.6,,10/19/2011,,
89128,NV,79.3,,09/20/2011,,
89128,NV,76.6,,09/13/2011,,
89101,NV,52.8,,09/05/2011,,
89108,NV,35.5,,11/17/2011,,
89131,NV,36.1,,12/02/2011,,
89144,NV,24.6,,09/15/2011,,
89129,NV,41.0,,09/14/2011,,
89117,NV,28.8,,09/14/2011,,
89131,NV,30.1,,09/14/2011,,
89107,NV,30.1,,10/17/2011,,
89107,NV,66.3,,09/14/2011,,
89146,NV,31.1,,09/20/2010,,
89108,NV,144.5,,07/20/2011,,
89144,NV,116.2,,08/18/2011,,
89107,NV,102.9,,06/22/2011,,
89117,NV,114.0,,06/15/2011,,
89101,NV,123.0,,07/28/2011,,
89102,NV,44.5,,12/20/2010,,
89102,NV,25.3,,12/20/2010,,
89101,NV,46.8,,12/20/2010,,
89131,NV,169.6,,06/30/2012,,
89129,NV,33.6,,05/16/2011,,
89101,NV,145.4,,12/09/2011,,
89502,NV,43.52,282900.0,12/01/2011,,
89502,NV,31.18,202670.0,12/01/2011,,
89502,NV,119.587,777316.0,11/01/2011,,
89506,NV,46.53,302445.0,11/01/2011,,
89523,NV,30.84,200460.0,11/01/2011,,
89506,NV,21.35,138775.0,10/01/2011,,
89502,NV,30.844,200460.0,12/01/2011,,
89512,NV,80.401,522600.0,12/01/2011,,
89512,NV,100.415,652730.0,12/01/2011,,
89506,NV,522.358,3395327.0,10/01/2011,,
89501,NV,180.0,1800000.0,12/05/2009,,
89501,NV,30.0,400000.0,10/05/2009,,
89512,NV,50.0,600000.0,12/01/2008,,
89052,NV,5.334,23314.0,04/23/2009,,
89141,NV,5.094,30541.0,05/20/2009,,
89512,NV,17.206,272672.0,05/29/2009,,
89502,NV,9.981,103784.0,06/10/2009,,
89147,NV,2.56,14339.0,07/31/2009,,
