Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NY
14522,NY,21.8,78151.0,01/19/2015,,
14609,NY,1100.0,,11/07/2014,,
10940,NY,30.0,106400.0,10/17/2014,,
13317,NY,8.215,33970.0,10/14/2014,,
12401,NY,6.36,26600.0,11/14/2014,,
12148,NY,8.96,34700.0,11/14/2014,,
12443,NY,5.83,23420.0,10/27/2014,,
12561,NY,10.865,37530.0,11/21/2014,,
14519,NY,13.8,52070.0,12/08/2014,,
13033,NY,9.0,31720.0,12/05/2014,,
12561,NY,9.0,33330.0,12/08/2014,,
12561,NY,8.25,31680.0,12/12/2014,,
12916,NY,8.4,42370.0,12/24/2014,,
11230,NY,25.2,104200.0,12/29/2014,,
10701,NY,1008.0,,10/29/2012,,
13618,NY,6.6,26690.0,07/18/2014,,
12477,NY,5.4,20500.0,09/30/2014,,
12538,NY,27.0,107500.0,09/26/2014,,
10992,NY,9.9,9900.0,08/15/2014,,
10992,NY,10.2,40259.0,08/15/2014,,
12502,NY,4.8,28000.0,08/19/2014,,
14701,NY,6.86,27440.0,11/23/2012,,
14710,NY,4.8,19200.0,08/28/2012,,
14701,NY,2.4,16800.0,04/01/2011,,
14701,NY,4.32,17400.0,09/09/2011,,
13040,NY,8.32,33280.0,03/14/2013,,
14710,NY,7.84,32928.0,11/20/2012,,
13902,NY,2115.0,,07/18/2014,,
14541,NY,844.8,,12/27/2013,,
10474,NY,147.84,,08/01/2012,,
10451,NY,237.12,,11/01/2012,,
11373,NY,318.99,,09/19/2012,,
11385,NY,352.56,,12/22/2012,,
14835,NY,1600.0,,11/16/2013,,
13045,NY,539.5,,01/08/2014,,
12550,NY,439.92,,11/14/2012,,
11207,NY,341.33,,06/05/2014,,
12166,NY,13.0,55260.0,06/14/2014,,
13104,NY,5.5,15560.0,05/09/2014,,
12491,NY,10.2,43550.0,04/17/2014,,
14589,NY,48.02,172840.0,05/13/2014,,
12166,NY,9.6,41960.0,04/07/2014,,
11232,NY,591.36,,11/27/2013,,
10314,NY,385.52,,12/03/2013,,
10314,NY,507.52,,12/17/2013,,
11101,NY,196.35,,02/26/2013,,
12589,NY,457.0,,09/20/2013,,
12401,NY,451.06,,09/25/2013,,
14228,NY,312.62,,09/25/2013,,
11215,NY,306.6,,01/01/2014,,
12550,NY,283.36,,12/03/2013,,
13021,NY,310.2,,09/30/2013,,
14221,NY,336.6,,12/03/2013,,
12534,NY,299.64,,12/01/2013,,
14850,NY,308.28,,09/25/2013,,
14216,NY,364.65,,12/01/2013,,
14845,NY,270.27,,09/30/2013,,
14626,NY,330.99,,09/30/2013,,
10303,NY,334.125,,12/05/2012,,
11377,NY,402.0,,04/07/2014,,
14580,NY,8.9,29000.0,04/01/2014,,
13088,NY,45.0,163200.0,01/20/2014,,
12590,NY,10.8,40588.8,12/16/2013,,
12184,NY,53.36,173088.0,12/05/2013,,
12590,NY,239.54,839400.0,11/04/2013,,
14527,NY,11.4,42530.0,10/18/2013,,
13159,NY,7.5,32700.0,10/28/2013,,
13159,NY,6.3,23185.0,10/21/2013,,
