Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OH
43844,OH,15.12,45250,09/29/2015,,
45880,OH,6.2,25040,04/24/2015,,
44654,OH,99.0,244700.0,12/30/2014,,
43906,OH,9.6,35980.0,12/15/2014,,
44260,OH,23.4,78230.0,12/12/2014,,
43713,OH,4.2,18960.0,12/11/2014,,
44805,OH,7.5,25380.0,12/04/2014,,
44866,OH,18.9,67280.0,11/25/2014,,
44681,OH,24.3,70270.0,11/13/2014,,
44254,OH,6.0,23550.0,11/07/2014,,
44275,OH,7.2,26250.0,11/07/2014,,
43832,OH,12.25,41490.0,10/08/2014,,
44286,OH,1.59,13500.0,10/02/2014,,
44805,OH,2.7,15720.0,10/03/2014,,
45030,OH,979.2,,01/18/2012,,
43449,OH,81.0,,06/02/2010,,
45458,OH,1134.0,,03/02/2010,,
44691,OH,7.5,26190.0,09/15/2014,,
44691,OH,10.2,36620.0,09/15/2014,,
43812,OH,7.2,23900.0,08/27/2014,,
44608,OH,10.5,36870.0,08/06/2014,,
43837,OH,16.2,56740.0,08/22/2014,,
43832,OH,11.4,34870.0,07/26/2014,,
43840,OH,7.8,30500.0,07/22/2014,,
43939,OH,14.4,51650.0,06/23/2014,,
43939,OH,2.0,10860.0,06/07/2014,,
44622,OH,7.56,27630.0,06/12/2014,,
44805,OH,17.5,55280.0,05/15/2014,,
44287,OH,6.9,24990.0,05/15/2014,,
44615,OH,13.0,56330.0,02/14/2014,,
44676,OH,12.0,37390.0,12/31/2013,,
44654,OH,74.82,159000.0,12/09/2013,,
44654,OH,9.0,44230.0,11/15/2013,,
44615,OH,12.5,56450.0,10/25/2013,,
44663,OH,5.0,20910.0,09/12/2013,,
43812,OH,9.0,37296.0,08/16/2013,,
44654,OH,4.9,21200.0,08/02/2013,,
43143,OH,18.0,61070.0,07/02/2013,,
44256,OH,7.65,30150.0,11/12/2012,,
43845,OH,51.3,152370.4,05/28/2013,,
44654,OH,54.15,159416.6,06/19/2013,,
44681,OH,57.0,160083.0,06/24/2013,,
43351,OH,22.23,75000.0,04/26/2013,,
44720,OH,5.7,22570.0,06/19/2013,,
43812,OH,36.0,157860.0,04/24/2013,,
43319,OH,11.0,49300.0,04/08/2013,,
44681,OH,54.99,191300.0,01/08/2013,,
44681,OH,100.0,344000.0,03/13/2013,,
43050,OH,9.75,49000.0,02/21/2013,,
44460,OH,10.0,48000.0,01/25/2013,,
44681,OH,54.99,193775.0,01/16/2013,,
44681,OH,54.99,193775.0,01/16/2013,,
45241,OH,586.56,,10/04/2012,,
45005,OH,424.645,,10/02/2012,,
45036,OH,3.5,,12/28/2012,,
43804,OH,54.99,193775.0,12/01/2012,,
44681,OH,54.99,193775.0,12/19/2012,,
43812,OH,40.0,163990.0,12/17/2012,,
43933,OH,17.0,81410.0,11/16/2012,,
