Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OR
97071,OR,48.0,182400.0,09/12/2013,,
97071,OR,48.0,182400.0,09/17/2013,,
97038,OR,58.0,220400.0,09/10/2013,,
97761,OR,100.0,425000.0,11/13/2013,,
97306,OR,100.0,380000.0,10/08/2013,,
97520,OR,5.0,,08/08/2000,,
97501,OR,55.825,,10/01/2009,,
97850,OR,16.5,105750.0,05/07/2012,,
97862,OR,4.335,19675.0,07/01/2012,,
97862,OR,4.59,25186.0,07/01/2012,,
97838,OR,2.88,13865.0,07/01/2012,,
97828,OR,6.12,34944.0,07/01/2012,,
97824,OR,2.88,10512.0,07/01/2012,,
97801,OR,3.06,16674.0,07/01/2012,,
97801,OR,3.06,15988.0,07/01/2012,,
97801,OR,4.08,21250.0,07/01/2012,,
97760,OR,3.22,14490.0,07/01/2012,,
97760,OR,3.22,15222.0,07/01/2012,,
97760,OR,3.24,14742.0,07/01/2012,,
97759,OR,7.848,49000.0,07/01/2012,,
97756,OR,1.38,11750.0,07/01/2012,,
97756,OR,2.76,12144.0,07/01/2012,,
97756,OR,2.86,21750.0,07/01/2012,,
97756,OR,3.12,14664.0,07/01/2012,,
97756,OR,3.22,14115.0,07/01/2012,,
97756,OR,3.24,15228.0,07/01/2012,,
97756,OR,3.24,14742.0,07/01/2012,,
97754,OR,2.94,13230.0,07/01/2012,,
97754,OR,3.12,13728.0,07/01/2012,,
97754,OR,3.12,14664.0,07/01/2012,,
97754,OR,3.22,14168.0,07/01/2012,,
97754,OR,3.22,14165.0,07/01/2012,,
97754,OR,4.8,19104.0,07/01/2012,,
97754,OR,4.83,21252.0,07/01/2012,,
97753,OR,5.06,16880.0,07/01/2012,,
97753,OR,7.0,28427.0,07/01/2012,,
97741,OR,3.0,15831.0,07/01/2012,,
97739,OR,3.22,13793.0,07/01/2012,,
97739,OR,32.2,127800.0,10/23/2012,,
97736,OR,3.36,33970.0,07/01/2012,,
97734,OR,1.41,9245.0,07/01/2012,,
97734,OR,3.36,12200.0,07/01/2012,,
97708,OR,2.76,24850.0,07/01/2012,,
97702,OR,3.0,13500.0,07/01/2012,,
97702,OR,3.12,14664.0,07/01/2012,,
97702,OR,3.22,15094.0,07/01/2012,,
97702,OR,3.24,15228.0,07/01/2012,,
97702,OR,3.29,15957.0,07/01/2012,,
97702,OR,3.29,15957.0,07/01/2012,,
97702,OR,3.29,15957.0,07/01/2012,,
97702,OR,3.29,15956.0,07/01/2012,,
97701,OR,1.84,10199.0,07/01/2012,,
97701,OR,2.59,11396.0,07/01/2012,,
