Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=PA
17033,PA,10.23,33910,03/27/2016,,
16914,PA,25.2,99160.0,10/03/2014,,
16652,PA,36.0,112900.0,12/17/2014,,
17543,PA,11.4,39730.0,12/09/2014,,
17801,PA,46.8,133200.0,11/19/2014,,
17512,PA,69.3,189900.0,12/24/2014,,
17522,PA,151.6,388000.0,12/05/2014,,
17057,PA,18.0,65490.0,11/12/2014,,
17837,PA,9.9,42108.0,10/29/2014,,
17007,PA,6.6,27050.0,11/15/2014,,
17364,PA,631.6,,07/01/2011,,
17968,PA,1004.0,,04/02/2010,,
17724,PA,36.0,128900.0,09/06/2014,,
16947,PA,19.8,58410.0,08/01/2014,,
17022,PA,28.0,79990.0,09/25/2014,,
17038,PA,10.8,38650.0,08/20/2014,,
17509,PA,97.5,237800.0,07/31/2014,,
17557,PA,70.0,182800.0,07/01/2014,,
16506,PA,4.48,25536.0,09/08/2011,,
16407,PA,3.84,22176.0,12/23/2010,,
16509,PA,2.7,20776.0,10/26/2011,,
16415,PA,6.88,46376.0,01/05/2011,,
16511,PA,4.14,25254.0,08/26/2011,,
16428,PA,4.0,28000.0,07/12/2010,,
16335,PA,3.24,12150.0,05/30/2014,,
16506,PA,5.6,41181.0,12/14/2009,,
16424,PA,5.0,22050.0,06/28/2012,,
16505,PA,2.5,10000.0,07/09/2013,,
16410,PA,10.0,53000.0,10/24/2011,,
16508,PA,1.44,7200.0,05/20/2013,,
16441,PA,3.96,26928.0,12/23/2010,,
16441,PA,6.37,26460.0,05/31/2012,,
16510,PA,8.1,26325.0,08/08/2014,,
16510,PA,4.8,32640.0,07/12/2010,,
16335,PA,8.55,56166.0,06/20/2011,,
16510,PA,2.2,13450.0,08/19/2011,,
16242,PA,10.0,71000.0,07/12/2010,,
16506,PA,1.96,8820.0,06/26/2012,,
16506,PA,26.6,,11/29/2010,,
16506,PA,6.16,38808.0,11/19/2010,,
16407,PA,14.31,56160.0,11/19/2013,,
16511,PA,3.71,14469.0,10/25/2013,,
16511,PA,2.7,8775.0,06/20/2014,,
16426,PA,6.1,30000.0,07/19/2011,,
16505,PA,2.52,14616.0,07/26/2011,,
