Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=RI
02822,RI,4.375,,06/06/2010,,
02864,RI,499.9,,03/27/2014,,
02864,RI,499.2,,03/27/2014,,
02907,RI,1499.7,,03/25/2014,,
02915,RI,3700.0,9000000.0,12/17/2013,,
02817,RI,2158.0,,05/14/2013,,
02852,RI,2340.0,7000000.0,11/06/2013,,
02908,RI,142.56,,12/30/2009,,
02871,RI,498.0,,07/26/2013,,
02893,RI,181.0,,05/13/2013,,
02901,RI,4.5,17761.57595,01/28/2014,,
02857,RI,10,44785.48484,01/10/2014,,
02871,RI,4.32,16740.93653,07/23/2014,,
02835,RI,2.0,,01/15/2004,,
02921,RI,50.0,,04/22/2008,,
02835,RI,3.52,,01/26/2012,,
02907,RI,46.2,270167.0,06/06/2011,,
02905,RI,20.0,21000.0,06/02/2005,,
02840,RI,24.2,,02/08/2008,,
02886,RI,23.625,,08/17/2009,,
02842,RI,27.6,,11/26/2008,,
02893,RI,175.0,,04/04/2012,,
02872,RI,3.6,,12/05/2011,,
02882,RI,10.2,,07/17/2012,,
02861,RI,178.64,897000.0,03/29/2011,,
02879,RI,20.4,,01/12/2012,,
02891,RI,6.885,,01/11/2012,,
02882,RI,10.0,,01/11/2012,,
02852,RI,10.2,,01/12/2012,,
02896,RI,9.9,,09/14/2011,,
02857,RI,2.0,,08/29/2005,,
02842,RI,50.2,,07/07/1999,,
02905,RI,1.4,,10/06/2005,,
02892,RI,22.0,,06/30/2004,,
02809,RI,8.1,,08/25/2004,,
02813,RI,35.7,,03/16/2011,,
02859,RI,4.51,40500.0,05/14/2009,,
02816,RI,2.2,20000.0,05/14/2009,,
02893,RI,2.05,20000.0,06/24/2008,,
02871,RI,3.6,,07/21/2006,,
02894,RI,15.0,104000.0,06/27/2005,,
02907,RI,300,,03/25/2014,,
02864,RI,500,,03/27/2014,,
02895,RI,182,,12/11/2014,,
02920,RI,406,,04/29/2014,,
02907,RI,1500,,03/25/2014,,
02842,RI,53,,12/15/2014,,
02917,RI,52,,12/17/2014,,
02896,RI,1084,,12/04/2014,,
02852,RI,331,,10/24/2014,,
02864,RI,500,,03/27/2014,,
02893,RI,181,,02/27/2014,,
02907,RI,300.0,1440000.0,11/06/2013,,
02813,RI,4.64,25837.0,10/02/2008,,
02816,RI,124.95,580000.0,03/22/2012,,
02852,RI,446.0,2000000.0,09/29/2011,,
02886,RI,33,137824.4268,06/16/2014,,
02914,RI,80.73,276821.0104,03/27/2014,,
02842,RI,68.9,164289.432,03/28/2014,,
02825,RI,4.95,19135.01467,11/07/2014,,
02891,RI,11.55,46371.84308,12/19/2014,,
02901,RI,66,248464.9482,03/27/2014,,
02865,RI,6,21482.48589,09/26/2014,,
02917,RI,4.5,19730.9081,10/14/2014,,
02865,RI,6.05,24858.42784,11/26/2014,,
02901,RI,4,15788.06751,01/28/2014,,
02901,RI,4.5,17761.57595,01/28/2014,,
02901,RI,4,15788.06751,01/28/2014,,
02901,RI,5,19735.08439,01/28/2014,,
02901,RI,3.5,13814.55907,01/28/2014,,
02864,RI,4.95,19129.30055,11/26/2014,,
02891,RI,6.75,21798.09444,07/23/2014,,
02901,RI,3.85,16736.94509,09/23/2014,,
02901,RI,74.24,272942.4486,07/28/2014,,
02878,RI,47.7,189284.2043,03/27/2014,,
02895,RI,12,53656.84785,07/28/2014,,
02893,RI,229.94,778857.4626,03/27/2014,,
02901,RI,5.94,21267.66104,09/30/2014,,
02914,RI,3.78,16394.73051,10/30/2014,,
02919,RI,5.5,24184.76314,11/26/2014,,
02901,RI,46.41,195866.5216,03/27/2014,,
02871,RI,5.4,19584.74946,07/02/2014,,
02825,RI,9.18,37193.04366,01/29/2014,,
02852,RI,2.75,12941.89637,10/01/2014,,
02879,RI,7.75,31411.77211,06/02/2014,,
02901,RI,4.2,28739.51869,08/27/2014,,
02910,RI,3.24,15183.29722,10/07/2014,,
02835,RI,4.95,22073.04486,11/26/2014,,
02835,RI,3,15447.05581,03/05/2014,,
02914,RI,5.67,20316.22703,08/21/2014,,
02893,RI,54,176787.3899,07/28/2014,,
02914,RI,25.2,100504.095,10/27/2014,,
02860,RI,4.5,16456.42258,08/21/2014,,
02901,RI,4.95,19709.5868,08/21/2014,,
02864,RI,5.175,31421.64625,11/26/2014,,
02842,RI,77.165,274686.2665,10/27/2014,,
02886,RI,6,32015.25255,07/01/2014,,
02840,RI,3.3,15628.98502,10/07/2014,,
02835,RI,7.5,35333.39147,01/17/2014,,
02886,RI,76.93,243816.2491,03/25/2014,,
02807,RI,2.4,29106.37152,06/30/2014,,
02835,RI,7.7,32628.93364,10/23/2014,,
02891,RI,8.1,31697.28604,07/01/2014,,
02893,RI,104.005,274688.2607,10/27/2014,,
02865,RI,48.75,140835.3514,10/27/2014,,
02842,RI,4.4,21277.35504,10/02/2014,,
02806,RI,4.25,18419.4121,01/14/2014,,
02882,RI,5.5,24770.06105,01/17/2014,,
