Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=SC
29039,SC,2,,10/01/2008,,
29620,SC,7.2,,11/01/2008,,
29138,SC,6.21,,11/03/2009,,
29585,SC,3.3,,05/04/2008,,
29640,SC,5.8,,01/01/2010,,
29566,SC,3.15,,10/01/2009,,
29630,SC,4.4,,10/01/2009,,
29078,SC,5,,12/01/2009,,
29925,SC,1.5,,12/01/2007,,
29809,SC,2,,08/01/2007,,
29485,SC,2.5,,08/02/2008,,
29401,SC,2.8,,02/01/2009,,
29061,SC,3,,09/01/2009,,
29585,SC,3.2,,09/02/2008,,
29322,SC,4.701,,07/03/2009,,
29669,SC,1.2,,05/01/2008,,
29483,SC,1.08,,06/01/2009,,
29690,SC,1.5,,12/01/2009,,
29407,SC,4,,12/01/2008,,
29560,SC,2.46,,01/02/2007,,
29646,SC,4,,12/01/2007,,
29733,SC,33.7,,11/07/2009,,
29689,SC,1,,09/01/2009,,
29812,SC,5.06,,12/01/2009,,
29651,SC,2.016,,01/01/2009,,
29073,SC,3.15,,07/05/2009,,
29614,SC,12,,01/08/2008,,
29045,SC,2,,10/01/2008,,
29671,SC,15.6,,09/01/2008,,
29644,SC,3.87,,11/04/2009,,
29576,SC,2.2,,01/06/2008,,
29407,SC,4.2,,01/07/2007,,
29631,SC,3.124,,12/01/2008,,
29202,SC,2.025,,11/08/2009,,
29071,SC,1.4,,12/01/2008,,
29449,SC,6.15,65000,09/01/2009,,
29614,SC,1.8,,02/03/2009,,
29935,SC,5,,12/01/2007,,
29575,SC,5,35000,12/20/2009,,
29576,SC,10,,07/01/2009,,
29036,SC,2,,05/01/2008,,
29651,SC,1.8,,01/01/1999,,
29669,SC,1.944,,11/02/2009,,
29512,SC,2,,03/01/2009,,
29910,SC,2,,02/01/2009,,
29511,SC,2,,10/01/2008,,
29009,SC,8,,05/02/2008,,
29681,SC,2.15,,09/01/2007,,
29585,SC,4.16,,06/02/2008,,
29669,SC,1.2,,01/02/2008,,
29620,SC,2.016,,11/05/2009,,
29601,SC,2,,12/01/2000,,
29926,SC,5.04,,07/02/2009,,
29650,SC,2.4,,12/01/1999,,
29466,SC,1.56,,10/05/2009,,
29449,SC,3.68,,11/01/2009,,
29644,SC,2.365,,10/03/2009,,
29614,SC,1.296,,05/01/2009,,
29691,SC,2,,05/01/2009,,
29928,SC,7.095,59500,02/16/2010,,
29691,SC,2.5,,01/01/2005,,
29651,SC,5.16,,01/01/2008,,
29407,SC,1.8,,01/03/2007,,
29045,SC,3,,07/06/2009,,
29202,SC,2,,08/02/2009,,
29733,SC,2.15,,07/01/2008,,
29572,SC,16,,10/01/2006,,
29205,SC,1.8,,08/01/2009,,
29464,SC,3,27000,05/10/2009,,
29682,SC,1.07,9500,04/13/2010,,
29575,SC,3.2,,02/01/2008,,
29601,SC,100,,12/01/2007,,
29572,SC,4.156,,08/01/2008,,
29926,SC,5.04,,02/02/2009,,
29945,SC,13.8,,02/01/2009,,
29681,SC,1.935,,10/04/2009,,
29572,SC,2,,05/03/2008,,
29406,SC,1.07,9500,11/10/2009,,
29560,SC,2.64,,12/01/2007,,
29033,SC,4.95,,07/04/2009,,
29658,SC,2,,12/01/2000,,
29614,SC,1.8,,01/05/2008,,
29356,SC,2.1,,06/01/2008,,
29631,SC,15,,03/01/2006,,
29407,SC,3.36,,01/04/2008,,
29651,SC,1.66,,01/07/2008,,
29554,SC,2,,12/01/2008,,
29728,SC,2,,09/01/2008,,
29640,SC,4.4,,12/03/2008,,
29642,SC,4.84,,12/01/2009,,
29715,SC,3,,07/02/2008,,
29904,SC,2.24,,12/02/2008,,
29520,SC,2.8,,01/04/2007,,
29621,SC,3.44,,12/01/2009,,
29926,SC,4.05,,11/09/2009,,
29410,SC,1.68,,06/01/2008,,
29664,SC,2.82,,12/01/2002,,
29689,SC,1,,02/01/2008,,
29614,SC,3.36,,01/03/2008,,
29560,SC,3,,10/01/2008,,
29601,SC,1.02,,12/01/2007,,
29691,SC,4.73,,11/06/2009,,
29572,SC,4.16,,06/01/2008,,
29644,SC,2,,01/01/1999,,
29407,SC,2.05,23900,12/15/2009,,
29634,SC,2.46,,01/01/2007,,
29205,SC,27,,12/01/2007,,
29658,SC,1.7,,12/01/1999,,
29601,SC,2.1,,12/01/2007,,
29640,SC,2.25,,10/02/2009,,
29451,SC,3,,01/06/2007,,
29620,SC,2,,10/01/2009,,
29645,SC,6.02,,08/01/2009,,
29614,SC,2,,01/01/1998,,
29556,SC,1.2,,12/01/1992,,
29061,SC,2,,05/01/2008,,
29322,SC,4.2,,02/04/2009,,
29681,SC,1.1,,12/01/1998,,
29614,SC,2.05,,01/05/2007,,
29576,SC,3.2,,12/01/2008,,
29733,SC,3.44,,06/01/2009,,
29407,SC,2,,06/02/2009,,
29201,SC,25.6,250000,08/10/2007,,
29401,SC,3.01,,03/01/2009,,
29681,SC,2.15,,01/08/2007,,
29407,SC,11,,03/01/2008,,
29505,SC,2.04,,01/09/2007,,
29306,SC,2.4,,01/01/2001,,
29614,SC,11.232,,06/03/2008,,
29809,SC,2,,01/10/2007,,
29412,SC,2,,12/01/2007,,
29671,SC,2.535,,12/01/2009,,
