"state","latitude","longitude"
AK,61.3850,-152.2683
AL,32.7990,-86.8073
AR,34.9513,-92.3809
AZ,34.3712,-111.9877
CA,37.1700,-119.7462
CO,39.0646,-105.5272
CT,41.5834,-72.7622
DE,38.9998,-75.5148
FL,27.8333,-81.7170
GA,32.9866,-83.6487
HI,21.1098,-157.5311
IA,42.0046,-93.2140
ID,45.2394,-114.5103
IL,40.0500,-89.0022
IN,39.8647,-86.2604
KS,38.5111,-98.4005
KY,37.6690,-85.6514
LA,31.1801,-91.8749
MA,42.2373,-71.8314
MD,39.0724,-77.5902
ME,45.3074,-69.3977
MI,43.3504,-84.5603
MN,45.7326,-93.9196
MO,38.4623,-92.3020
MS,32.7673,-89.6812
MT,46.9048,-110.3261
NC,35.6411,-79.8431
ND,47.5362,-100.1930
NE,41.1289,-98.9883
NH,44.0108,-71.5653
NJ,40.1900,-74.5089
NM,34.4375,-106.2371
NV,38.4199,-117.1219
NY,42.8497,-75.9384
OH,40.3736,-82.7755
OK,35.5376,-98.5247
OR,44.5672,-122.1269
PA,40.5773,-77.2640
RI,41.6772,-71.5101
SC,33.8191,-80.9066
SD,44.2853,-100.2632
TN,35.7449,-86.7489
TX,31.1060,-99.3475
UT,39.5135,-111.8535
VA,37.7680,-79.7057
VT,43.8907,-72.7093
WA,47.3917,-120.7708
WI,44.8063,-89.6385
WV,38.4680,-80.9696
WY,43.0475,-107.6085
