Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=TX
77004,TX,48.96,,04/13/2016,,
76065,TX,7.2,17493,04/11/2016,,
75025,TX,1.96,5596,04/08/2016,,
75243,TX,1.68,6861,04/08/2016,,
75230,TX,17.5,40265,04/06/2016,,
75032,TX,10.6,27095,03/28/2016,,
75010,TX,7.95,22844,03/28/2016,,
75034,TX,17.1,51025,03/25/2016,,
75075,TX,9.96,32292,03/22/2016,,
75207,TX,19.08,59663,03/15/2016,,
75248,TX,10.81,40828,03/14/2016,,
76126,TX,4.76,17426,03/02/2016,,
75218,TX,7.625,27383,02/26/2016,,
75089,TX,7.32,21269,02/24/2016,,
75422,TX,9.54,31920,02/19/2016,,
76103,TX,4.88,14395,02/18/2016,,
76016,TX,13.5,42274,02/17/2016,,
78212,TX,68.0,,10/13/2014,,
76207,TX,19.08,50152,02/12/2016,,
75090,TX,5.565,20592,02/05/2016,,
75068,TX,11.13,35416,02/02/2016,,
75254,TX,10.07,31831,01/29/2016,,
76651,TX,11.925,35540,01/25/2016,,
75042,TX,44.88,136884,01/15/2016,,
75251,TX,76.5,234852,01/08/2016,,
75077,TX,7.42,25161,12/22/2015,,
75209,TX,12.6,45990,12/18/2015,,
77433,TX,1.5,,09/09/2014,,
75013,TX,9.8,32500,11/23/2015,,
76203,TX,21.0,66570,12/04/2015,,
76134,TX,100.0,,10/01/2015,,
75706,TX,803.83,,10/13/2014,,
75087,TX,10.2,23856,10/21/2015,,
76065,TX,883.5,,10/12/2015,,
76102,TX,136.0,,06/17/2015,,
75189,TX,9.455,32086,09/28/2015,,
75146,TX,677.0,,02/13/2015,,
75248,TX,9.9,25245.0,02/10/2015,,
75048,TX,10.0,24900.0,02/04/2015,,
75023,TX,7.0,12970.0,04/03/2015,,
75070,TX,7.0,19903.0,03/31/2015,,
76108,TX,11.2,23759.0,03/26/2015,,
77034,TX,5.25,,01/20/2015,,
76692,TX,3.45,15649,09/15/2015,,
75243,TX,8.4,20850,09/17/2015,,
75002,TX,11.76,40760,08/21/2015,,
78660,TX,8.68,34470,08/14/2015,,
75225,TX,6.325,9919,07/02/2015,,
77433,TX,10.0,,07/31/2015,,
77030,TX,85.32,,06/26/2015,,
76692,TX,8.28,43727,07/20/2015,,
75022,TX,9.52,19368,07/11/2015,,
75243,TX,8.96,19367,07/10/2015,,
75025,TX,8.75,17223,06/12/2015,,
75070,TX,10.0,26360,06/19/2015,,
75243,TX,6.0,18199,06/10/2015,,
76227,TX,2661.1,,06/05/2015,,
75209,TX,6.16,12781,05/28/2015,,
76065,TX,7.0,17220,05/21/2015,,
75023,TX,4.5,9310.0,01/14/2015,,
76692,TX,8.28,39628.0,01/07/2015,,
75243,TX,8.96,27668,07/13/2015,,
75189,TX,9.455,32090,09/21/2015,,
79556,TX,25.2,,09/16/2015,,
75076,TX,5.0,12950.0,12/18/2014,,
76092,TX,487.56,,12/17/2014,,
79735,TX,18000.0,,09/04/2014,,
75067,TX,10.5,,12/01/2014,,
75146,TX,112.25,,12/10/2014,,
75462,TX,10.0,33740.0,12/09/2014,,
75093,TX,50.5,,11/11/2014,,
79836,TX,217.1,,03/05/2012,,
