Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=UT
84104,UT,904.0,3000000.0,03/26/2014,,
84113,UT,22.16,100000.0,05/04/2014,,
84119,UT,20.52,75000.0,04/11/2014,,
84104,UT,642.2,2000000.0,11/06/2013,,
84005,UT,10.0,50495.0,10/21/2013,,
84770,UT,6.375,33964.0,05/20/2013,,
84737,UT,2.55,13872.0,05/30/2013,,
84074,UT,4.0,18750.0,03/31/2013,,
84057,UT,36.0,189000.0,05/07/2013,,
84043,UT,14.0,73995.0,08/27/2013,,
84117,UT,8.0,42495.0,12/16/2013,,
84721,UT,18.87,79800.0,05/02/2013,,
84003,UT,5.0,36745.0,11/26/2013,,
84029,UT,7.14,37980.0,02/15/2013,,
84015,UT,6.25,33308.0,07/29/2013,,
84070,UT,3.315,17899.0,06/04/2013,,
84003,UT,13.26,52500.0,04/15/2013,,
84087,UT,6.0,31995.0,11/27/2013,,
84065,UT,6.63,35303.0,05/22/2013,,
84405,UT,13.25,70058.0,09/16/2013,,
84645,UT,3.06,16160.0,05/30/2013,,
84128,UT,3.06,16245.0,05/29/2013,,
84065,UT,4.0,21495.0,10/31/2013,,
84111,UT,2.04,11205.0,06/06/2013,,
84006,UT,5.5,29370.0,12/06/2013,,
84128,UT,4.0,21495.0,10/30/2013,,
84003,UT,7.9,41970.0,07/09/2013,,
84043,UT,4.34,22875.0,03/26/2013,,
84070,UT,4.5,24120.0,09/03/2013,,
84037,UT,4.0,21495.0,08/23/2013,,
84092,UT,9.0,47625.0,11/19/2013,,
84088,UT,7.65,40658.0,08/05/2013,,
84098,UT,4.5,24120.0,11/18/2013,,
84081,UT,9.18,48690.0,06/15/2013,,
84092,UT,3.5,18870.0,11/08/2013,,
84106,UT,1.75,9187.5,11/18/2013,,
84088,UT,15.3,80820.0,08/14/2013,,
84075,UT,5.25,28058.0,07/29/2013,,
84093,UT,5.0,26745.0,09/12/2013,,
84003,UT,4.845,23775.0,05/13/2013,,
84092,UT,8.5,45000.0,12/26/2013,,
84094,UT,8.0,42495.0,10/03/2013,,
84630,UT,4.59,24593.0,06/07/2013,,
84116,UT,1.25,7058.0,12/11/2013,,
84774,UT,4.08,21915.0,05/29/2013,,
84128,UT,0.75,3750.0,03/25/2013,,
84057,UT,3.83,20576.0,03/01/2013,,
84074,UT,3.06,16245.0,04/19/2013,,
84041,UT,6.0,31995.0,10/23/2013,,
84119,UT,5.1,27270.0,06/18/2013,,
84040,UT,9.5,49875.0,10/22/2013,,
84604,UT,5.5,30370.0,11/27/2013,,
84105,UT,5.5,31995.0,07/29/2013,,
84092,UT,5.75,30683.0,10/31/2013,,
84065,UT,5.0,26250.0,08/26/2013,,
84074,UT,8.25,43808.0,11/12/2013,,
84116,UT,1.5,8220.0,08/07/2013,,
84005,UT,5.1,25995.0,04/12/2013,,
84058,UT,2.5,13125.0,09/30/2013,,
84116,UT,3.5,18870.0,09/04/2013,,
84095,UT,8.0,42495.0,09/03/2013,,
84003,UT,8.75,46433.0,10/16/2013,,
84062,UT,5.1,25995.0,05/22/2013,,
84101,UT,28.08,140000.0,05/30/2013,,
84074,UT,3.315,17037.0,04/08/2013,,
84123,UT,7.8,53871.0,05/13/2013,,
84029,UT,5.31,28688.0,04/19/2013,,
84737,UT,6.24,33255.0,04/25/2013,,
84646,UT,4.5,24120.0,09/30/2013,,
84662,UT,3.57,19237.0,08/29/2013,,
84780,UT,3.06,16560.0,04/29/2013,,
84094,UT,7.0,46077.0,11/22/2013,,
84054,UT,4.0,20000.0,07/25/2013,,
84074,UT,6.12,32651.0,03/13/2013,,
84414,UT,5.25,28058.0,10/07/2013,,
84043,UT,4.7,24675.0,04/29/2013,,
84096,UT,7.14,36750.0,01/21/2013,,
84067,UT,5.0,34107.0,01/07/2013,,
84097,UT,10.0,52995.0,08/13/2013,,
84405,UT,8.16,43335.0,07/03/2013,,
84081,UT,2.0,10500.0,10/25/2013,,
84601,UT,5.5,29370.0,08/05/2013,,
84128,UT,4.08,22335.0,03/29/2013,,
84414,UT,8.0,42500.0,10/28/2013,,
84015,UT,10.0,52500.0,09/04/2013,,
84037,UT,5.75,30683.0,11/04/2013,,
84095,UT,5.0,26745.0,09/04/2013,,
84664,UT,5.0,26475.0,10/16/2013,,
84043,UT,4.34,13883.0,06/21/2013,,
84096,UT,7.14,36750.0,04/05/2013,,
84067,UT,6.5,34107.0,01/07/2013,,
84075,UT,8.75,28058.0,08/30/2013,,
84015,UT,8.0,33308.0,11/20/2013,,
84067,UT,4.08,21216.0,08/30/2013,,
84078,UT,2.08,11024.0,08/30/2013,,
84092,UT,4.08,20808.0,08/30/2013,,
84062,UT,3.315,17238.0,08/30/2013,,
84041,UT,6.375,32512.5,07/31/2013,,
84037,UT,8.415,42075.0,07/31/2013,,
84663,UT,4.0,21200.0,06/30/2013,,
84010,UT,4.0,21600.0,06/30/2013,,
84092,UT,7.5,39000.0,05/31/2013,,
84105,UT,4.0,20400.0,06/30/2013,,
84054,UT,3.0,15750.0,06/30/2013,,
84738,UT,3.0,16200.0,05/31/2013,,
84075,UT,2.25,11250.0,05/31/2013,,
84604,UT,5.0,26250.0,05/31/2013,,
84092,UT,5.25,26250.0,05/31/2013,,
84088,UT,10.0,,02/09/2012,,
84401,UT,10.0,,02/08/2012,,
84095,UT,2,7235.205795,01/28/2014,,
84096,UT,0.75,3482.761143,02/03/2014,,
84044,UT,3.18,10704.44424,09/08/2014,,
84096,UT,1.53,6144.941144,12/18/2014,,
84606,UT,10.0,45000.0,09/21/2012,,
84106,UT,5.04,12000.0,09/30/2011,,
84020,UT,1015.0,,07/26/2012,,
84124,UT,4.48,28000.0,10/28/2011,,
84104,UT,65.28,225000.0,06/22/2012,,
84109,UT,6.35,34000.0,12/20/2011,,
84101,UT,1650.0,,05/24/2012,,
84074,UT,50.0,250000,10/20/2010,,
84511,UT,106.5,,10/26/2010,,
84065,UT,0.36,1967.51,12/01/2000,,
84106,UT,1.44,12082.81,09/09/2002,,
84106,UT,0.96,7930.7,04/22/2004,,
84405,UT,1.96,20535.0,07/12/2004,,
84124,UT,2.2,17513.2,05/10/2005,,
84120,UT,4.1,24610.99,06/20/2005,,
84637,UT,1.2,7171.76,11/01/2005,,
84102,UT,29.26,269750.77,12/28/2005,,
84102,UT,29.26,247736.07,12/28/2005,,
84790,UT,2.04,22209.13,04/01/2006,,
84532,UT,0.64,3750.0,05/01/2006,,
84637,UT,1.2,7171.76,05/05/2006,,
84020,UT,4.0,30000.0,06/01/2006,,
84720,UT,1.56,15563.65,06/12/2006,,
84663,UT,2.5,23229.56,09/08/2006,,
84663,UT,2.5,23229.56,09/11/2006,,
84770,UT,4.8,49455.0,09/27/2006,,
84790,UT,3.15,24816.0,11/16/2006,,
84790,UT,3.15,24816.0,11/17/2006,,
84652,UT,2.0,15437.11,12/01/2006,,
84078,UT,1.485,9396.79,12/11/2006,,
84105,UT,1.7,16711.3,12/28/2006,,
84105,UT,1.7,13911.3,12/28/2006,,
84111,UT,2.0,8466.64,12/29/2006,,
84111,UT,92.0,389465.37,12/29/2006,,
84032,UT,1.04,8694.0,12/30/2006,,
84790,UT,1.2,9660.65,12/30/2006,,
84010,UT,0.75,1937.02,05/01/2007,,
84103,UT,2.76,21885.0,05/08/2007,,
84047,UT,2.4,24710.0,06/23/2007,,
84737,UT,0.99,10735.0,06/25/2007,,
84532,UT,8.1,72900.0,07/27/2007,,
84109,UT,4.18,39210.0,08/24/2007,,
84105,UT,1.4,12707.0,08/28/2007,,
84604,UT,2.9,18214.17,10/01/2007,,
