Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=VA
20132,VA,2.7,8000.0,03/17/2012,,
20132,VA,6.0,30000.0,07/10/2010,,
20121,VA,5.64,39998.0,12/06/2010,,
20148,VA,6.3,26360.0,07/16/2013,,
20165,VA,11.7,43472.0,05/14/2013,,
22192,VA,504.0,,07/11/2012,,
23035,VA,6.0,31000.0,07/01/2003,,
20132,VA,2.7,10000,03/18/2012,,
20132,VA,6,30000,07/10/2010,,
22802,VA,104.32,,11/03/2010,,
22207,VA,1.1,,11/08/2011,,
20171,VA,2.6,,12/27/2010,,
20132,VA,15.75,84000.0,07/01/2011,,
20132,VA,18.9,110000.0,01/01/2011,,
22827,VA,2.76,13000.0,05/15/2011,,
22646,VA,6.75,65750.0,09/09/2010,,
22847,VA,3.53,28200.0,11/04/2010,,
22911,VA,9.89,65000.0,04/15/2010,,
22664,VA,3.375,25350.0,06/24/2010,,
22602,VA,6.21,46575.0,04/07/2010,,
22624,VA,3.68,27600.0,01/24/2010,,
22654,VA,4.12,32960.0,12/08/2009,,
22660,VA,1.8,14400.0,12/08/2009,,
20132,VA,6.21,49680.0,12/05/2009,,
23069,VA,2.4,30000,11/01/1999,,
20147,VA,4.2,31500,04/20/2010,,
22041,VA,5.06,25123,04/03/2010,,
23058,VA,4.32,,04/23/2010,,
23509,VA,3,30000,03/29/2009,,
22853,VA,557.38,1270000,11/05/2015,,
23146,VA,3.3,42300,08/06/2009,,
22205,VA,2.7,,05/27/2006,,
24458,VA,1.92,19900,06/01/2006,,
24448,VA,2,,05/01/2007,,
20132,VA,8.45,58500,05/11/2010,,
24060,VA,5.025,28000,06/01/2004,,
23069,VA,2,22500,03/01/2008,,
24422,VA,3.1,29179,05/23/2009,,
23229,VA,1,15000,02/01/2000,,
22067,VA,1.44,22067.0,07/26/2003,,
23221,VA,3.2,34450,03/25/2009,,
23220,VA,2.8,29650,01/10/2010,,
20147,VA,9.8,65000,04/29/2010,,
23860,VA,10.8,,01/08/2010,,
24060,VA,1.05,,05/01/2010,,
23607,VA,8.1,55000.0,02/17/2010,,
