Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=VT
05674,VT,138.9,,01/14/2015,,
05602,VT,500.0,,12/15/2014,,
05301,VT,2500.0,,10/08/2014,,
05701,VT,98.28,,01/21/2014,,
05602,VT,30.0,,06/09/1997,,
05701,VT,150.0,,05/09/2014,,
05482,VT,2960.0,,02/11/2014,,
05156,VT,148.5,,12/08/2012,,
05485,VT,2400.0,,12/13/2013,,
05701,VT,140.4,,01/14/2014,,
05871,VT,32.34,,07/17/2013,,
05001,VT,32.0,,12/17/2010,,
05661,VT,108.0,,12/31/2012,,
05753,VT,143.0,,02/21/2012,,
05674,VT,5.232,,12/20/2012,,
05477,VT,4.578,,12/18/2012,,
05677,VT,5.886,,12/03/2012,,
05674,VT,6.867,,12/05/2012,,
05672,VT,5.232,,12/05/2012,,
05491,VT,5.232,,11/29/2012,,
05648,VT,7.848,,12/26/2012,,
05452,VT,4.928,,12/26/2012,,
05443,VT,4.08,,12/28/2012,,
05674,VT,4.32,,12/31/2012,,
05477,VT,3.924,,12/27/2012,,
05673,VT,8.64,,12/31/2012,,
05494,VT,5.886,,12/28/2012,,
05446,VT,5.28,,12/28/2012,,
05660,VT,7.7,,12/19/2012,,
05602,VT,3.68,,12/26/2012,,
05468,VT,6.54,,12/20/2012,,
05602,VT,7.848,,12/20/2012,,
05641,VT,3.924,,12/20/2012,,
05465,VT,3.924,,12/19/2012,,
05676,VT,3.84,,12/14/2012,,
05446,VT,5.886,,12/20/2012,,
05403,VT,5.232,,12/14/2012,,
05465,VT,5.886,,12/13/2012,,
05663,VT,5.886,,12/07/2012,,
05602,VT,7.848,,12/07/2012,,
05489,VT,6.867,,12/07/2012,,
05465,VT,8.175,,12/07/2012,,
05677,VT,3.924,,12/07/2012,,
05676,VT,3.924,,12/07/2012,,
05461,VT,6.125,,12/05/2012,,
05735,VT,1.02,,12/27/2012,,
05403,VT,4.905,,10/25/2012,,
05468,VT,3.924,,12/04/2012,,
05403,VT,6.54,,11/19/2012,,
05465,VT,5.232,,11/19/2012,,
05676,VT,7.848,,11/12/2012,,
05465,VT,5.232,,11/19/2012,,
05462,VT,6.54,,11/12/2012,,
05465,VT,5.232,,10/12/2012,,
05656,VT,6.54,,12/11/2012,,
05468,VT,3.27,,11/21/2012,,
05650,VT,5.886,,10/29/2012,,
05650,VT,10.0,,12/24/2012,,
05602,VT,7.848,,10/28/2012,,
05667,VT,5.635,,12/13/2012,,
05482,VT,4.0,,11/21/2012,,
05408,VT,6.0,,11/22/2012,,
05602,VT,5.88,,11/27/2012,,
05672,VT,11.772,,12/03/2012,,
05359,VT,11.76,,11/19/2012,,
05602,VT,4.41,,10/30/2012,,
05465,VT,3.924,,09/06/2012,,
05737,VT,6.37,,12/21/2012,,
05346,VT,5.88,39749.0,09/19/2012,,
05156,VT,8.82,41967.0,11/05/2012,,
05408,VT,5.886,,12/10/2012,,
05301,VT,5.88,24074.0,10/11/2012,,
05346,VT,9.555,37485.0,09/01/2012,,
05602,VT,9.81,,07/10/2012,,
05301,VT,4.8,24960.0,06/26/2012,,
05346,VT,6.24,28744.0,07/16/2012,,
05158,VT,1.88,10284.0,03/01/2012,,
