Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=WA
98665,WA,9.63,44897,09/25/2015,,
98125,WA,3.5,21000,06/20/2012,,
98201,WA,6.0,17100,10/13/2014,,
98226,WA,6.12,20000.0,03/25/2014,,
98226,WA,6.0,35000.0,10/04/2013,,
98282,WA,5.07,32000.0,03/15/2012,,
98115,WA,5.76,22890.0,04/30/2013,,
98112,WA,5.2,28000.0,11/22/2013,,
98052,WA,4.355,22300.0,09/10/2013,,
98103,WA,5.36,31300.0,08/22/2013,,
98019,WA,6.48,23580.0,08/02/2013,,
98102,WA,7.44,37700.0,08/08/2013,,
98102,WA,4.4,28100.0,07/26/2013,,
98028,WA,4.24,14500.0,07/26/2013,,
98112,WA,2.65,16486.0,07/26/2013,,
98006,WA,4.86,20800.0,08/01/2013,,
98177,WA,6.24,32000.0,06/14/2013,,
98144,WA,5.2,37500.0,06/25/2013,,
98178,WA,4.8,28700.0,05/30/2013,,
98027,WA,6.89,21600.0,05/15/2013,,
98229,WA,8.4,49750.0,04/10/2013,,
98027,WA,529.2,2080876.0,05/21/2010,,
98516,WA,5.72,,10/11/2012,,
98516,WA,6.6,,10/03/2012,,
98516,WA,5.72,,09/26/2012,,
98516,WA,6.6,,09/21/2012,,
98516,WA,6.6,,09/20/2012,,
98516,WA,6.16,,08/31/2012,,
98516,WA,5.72,,08/31/2012,,
98516,WA,5.72,,08/31/2012,,
98516,WA,5.72,,08/15/2012,,
98516,WA,6.6,,08/01/2012,,
98516,WA,6.6,,07/18/2012,,
98053,WA,6.16,,10/04/2012,,
98053,WA,7.26,,09/27/2012,,
98053,WA,6.16,,09/27/2012,,
98053,WA,6.16,,09/06/2012,,
99027,WA,4.8,35000.0,12/07/2012,,
98072,WA,25.6,,06/21/2011,,
99320,WA,4.8,29200.0,11/12/2012,,
99352,WA,3.4,22900.0,11/12/2012,,
98620,WA,5.04,53000.0,11/12/2012,,
99301,WA,9.84,55995.0,11/12/2012,,
99352,WA,5.76,36864.0,11/12/2012,,
99362,WA,9.6,57000.0,10/12/2012,,
98620,WA,4.8,27000.0,09/01/2012,,
98672,WA,0.66,10000.0,02/05/2005,,
98620,WA,1.21,8400.0,09/05/2005,,
98650,WA,2.1,18900.0,12/05/2005,,
98620,WA,1.7,15300.0,01/06/2006,,
98620,WA,3.4,27200.0,02/06/2006,,
98368,WA,2.04,18000.0,03/06/2006,,
98635,WA,3.06,24280.0,06/06/2006,,
98635,WA,1.7,11900.0,08/06/2006,,
98635,WA,1.6,25800.0,08/06/2006,,
