Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=WI
54154,WI,7.72,20000,05/01/2015,,
54311,WI,112.0,,06/05/2014,,
54020,WI,3.68,,03/01/2009,,
54022,WI,2.2,,06/26/2008,,
54749,WI,3.2,,03/11/2008,,
54022,WI,3.68,30016.0,02/25/2008,,
54022,WI,2.6,,06/01/2007,,
53207,WI,3.2,16613.0,10/29/2012,,
53211,WI,3.5,15000.0,10/30/2012,,
53593,WI,4.2,26434.0,10/19/2012,,
53137,WI,2.6,13800.0,10/19/2012,,
54481,WI,0.8,7900.0,10/19/2012,,
53715,WI,2.7,14520.0,10/19/2012,,
53703,WI,1.8,11475.0,10/19/2012,,
53726,WI,6.7,45633.0,10/19/2012,,
53960,WI,11.4,51549.0,10/19/2012,,
54174,WI,2.0,10936.0,10/29/2012,,
54904,WI,4.1,47830.0,10/29/2012,,
53214,WI,2.7,18761.0,10/29/2012,,
54751,WI,3.7,28827.0,10/29/2012,,
54944,WI,3.7,19079.0,10/29/2012,,
54904,WI,3.4,15710.0,10/19/2012,,
53711,WI,2.7,15905.0,10/29/2012,,
53222,WI,5.4,25501.0,10/29/2012,,
54481,WI,2.2,13900.0,10/29/2012,,
53149,WI,5.4,16369.54,10/19/2012,,
54475,WI,7.6,35641.0,09/19/2012,,
54949,WI,5.3,39280.0,09/19/2012,,
54205,WI,5.1,24100.0,09/19/2012,,
53191,WI,3.6,22000.0,09/19/2012,,
54820,WI,1.8,9265.0,09/19/2012,,
54149,WI,4.5,8012.2,09/19/2012,,
53181,WI,5.4,38000.0,08/29/2012,,
53023,WI,3.7,19711.0,08/29/2012,,
54161,WI,0.9,2003.69,08/29/2012,,
54956,WI,8.8,32100.0,07/30/2012,,
54311,WI,6.5,27500.0,07/30/2012,,
53121,WI,2.3,14472.0,10/29/2012,,
53926,WI,9.2,36927.0,10/19/2012,,
53703,WI,2.9,19430.0,10/29/2012,,
54639,WI,3.6,16090.54,10/29/2012,,
53066,WI,6.3,33900.0,10/29/2012,,
54615,WI,2.7,14569.57,10/29/2012,,
53212,WI,3.6,15200.0,10/29/2012,,
53521,WI,5.2,23720.0,10/19/2012,,
54601,WI,4.4,29346.0,09/19/2012,,
53590,WI,3.7,19992.0,10/19/2012,,
54665,WI,9.6,39036.0,09/19/2012,,
53703,WI,2.5,15270.0,09/19/2012,,
54930,WI,0.8,3327.01,10/29/2012,,
53404,WI,2.8,21910.0,09/19/2012,,
53024,WI,4.5,16263.0,09/19/2012,,
53704,WI,2.1,14994.0,08/29/2012,,
53562,WI,4.3,20768.0,08/29/2012,,
53575,WI,2.7,11680.0,08/29/2012,,
53137,WI,5.4,16053.55,08/29/2012,,
54481,WI,0.9,4906.92,08/29/2012,,
53590,WI,2.7,14688.0,08/29/2012,,
53705,WI,9.996,84861.0,01/02/2012,,
53705,WI,9.89,76895.0,01/02/2012,,
53081,WI,28.98,169575.0,01/02/2012,,
54729,WI,19.35,97450.0,01/02/2012,,
53711,WI,8.64,53192.0,04/17/2012,,
53083,WI,19.6,115480.0,04/03/2012,,
53510,WI,0.96,4000.0,05/17/2012,,
53562,WI,5.28,27192.4,02/28/2012,,
53583,WI,3.68,24795.0,02/28/2012,,
53714,WI,3.84,22371.6,02/28/2012,,
53955,WI,0.7,8000.0,02/15/2012,,
54667,WI,5.76,36818.45,01/28/2012,,
54210,WI,5.52,23185.0,01/28/2012,,
53588,WI,3.55,25265.0,01/28/2012,,
