Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=WV
25442,WV,3.0,12000.0,11/15/2013,,
26571,WV,7.28,,05/13/2013,,
25443,WV,5.405,,06/05/2013,,
26610,WV,5.2,39000.0,11/19/2012,,
25411,WV,25.38,,08/05/2011,,
25443,WV,11.475,,05/17/2012,,
26104,WV,21.6,,10/24/2012,,
25427,WV,8.93,,06/28/2012,,
25314,WV,1.44,,09/19/2011,,
25430,WV,3.76,,01/31/2012,,
24901,WV,3.6,,08/31/2010,,
25446,WV,4.23,,11/30/2010,,
25427,WV,5.64,,12/09/2011,,
25840,WV,5.64,,05/16/2011,,
26505,WV,11.96,,08/12/2010,,
25403,WV,9.4,,11/21/2011,,
26651,WV,10.35,,05/10/2011,,
25313,WV,11.28,,08/04/2011,,
25419,WV,11.25,,12/07/2010,,
26033,WV,35.88,,05/03/2011,,
25411,WV,15.36,,10/10/2012,,
25401,WV,61.1,,01/10/2012,,
25304,WV,25.38,,09/14/2012,,
25428,WV,25.38,,12/23/2011,,
26501,WV,140.14,,06/12/2012,,
25444,WV,9.9,,05/12/2011,,
24901,WV,2.76,15500.0,05/18/2011,,
24901,WV,1.92,10200.0,07/26/2012,,
24901,WV,3.33,20400.0,11/22/2011,,
24901,WV,3.84,25900.0,12/20/2011,,
25812,WV,5.2,33800.0,03/21/2012,,
25976,WV,1.9,11400.0,08/16/2011,,
26651,WV,1.0,3585.0,07/10/2012,,
26505,WV,4.032,,01/21/2010,,
25438,WV,404.495,,12/29/2011,,
25414,WV,22.275,,08/30/2011,,
25825,WV,6.24,39000.0,08/18/2011,,
24966,WV,1.68,9500.0,10/11/2011,,
26710,WV,6.5,12500.0,05/25/2007,,
25443,WV,2.82,,05/25/2011,,
25422,WV,3.525,,06/20/2011,,
25411,WV,2.82,19035.0,10/13/1997,,
25411,WV,3.525,25556.0,03/28/2011,,
25411,WV,2.35,15275.0,04/20/2011,,
25411,WV,2.82,19035.0,04/07/2011,,
25411,WV,2.35,14000.0,06/10/2011,,
25411,WV,11.75,74000.0,06/01/2011,,
25411,WV,5.64,35311.0,06/01/2011,,
25411,WV,1.41,9517.5,04/26/2011,,
25411,WV,4.7,27000.0,04/30/2011,,
25428,WV,2.82,18330.0,01/26/2011,,
25411,WV,1.41,9165.0,04/29/2011,,
24901,WV,3.68,26100.0,04/18/2011,,
24901,WV,0.9,5400.0,01/05/2011,,
24966,WV,4.83,26565.0,04/21/2011,,
25235,WV,3.54,,09/15/2010,,
25411,WV,0.9,7490.0,11/16/2010,,
25443,WV,2.82,19740.0,11/02/2010,,
25446,WV,4.14,19035.0,09/17/2010,,
25411,WV,0.92,9000.0,09/15/2010,,
25443,WV,2.07,13500.0,09/14/2010,,
25438,WV,1.3,10000.0,08/13/2010,,
25427,WV,2.7,28250.0,08/11/2010,,
24901,WV,5.28,27500.0,11/17/2010,,
25422,WV,1.0,7500.0,03/01/2010,,
25404,WV,3.6,27000.0,07/29/2010,,
25411,WV,4.73,35475.0,07/05/2010,,
25404,WV,1.58,11850.0,07/01/2010,,
25425,WV,4.14,31050.0,06/10/2010,,
25430,WV,4.83,36225.0,06/09/2010,,
25411,WV,5.98,44850.0,06/08/2010,,
25427,WV,5.98,44850.0,06/04/2010,,
25442,WV,7.36,55200.0,05/27/2010,,
25411,WV,2.76,20700.0,05/09/2010,,
25411,WV,1.84,13800.0,04/21/2010,,
25411,WV,4.56,34200.0,04/06/2010,,
25411,WV,4.6,34500.0,03/25/2010,,
25411,WV,6.44,48300.0,03/19/2010,,
25411,WV,4.14,33120.0,12/08/2009,,
25404,WV,6.07,48500.0,11/18/2009,,
25411,WV,4.14,33120.0,10/30/2009,,
25976,WV,1.75,13000.0,09/16/2009,,
24901,WV,5.4,32500.0,08/10/2010,,
26711,WV,5.0,28000.0,06/09/2010,,
25443,WV,2.1,20000,04/23/2010,,
24966,WV,3.6,22500,05/24/2010,,
25443,WV,1.3,25000,09/19/2008,,
25966,WV,5.5,35884,12/10/2009,,
25276,WV,8.8,9070,11/26/2009,,
24976,WV,1.8,14362,10/29/2009,,
24966,WV,0.36,2160,05/19/2010,,
26505,WV,3.12,20000.0,04/18/2013,,
