Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=WY
82520,WY,11.5,,05/14/2012,,
82941,WY,4.0,,10/01/2009,,
82072,WY,6.0,,04/08/2010,,
82520,WY,24.8,,02/23/2011,,
82601,WY,10.6,,09/07/2011,,
83115,WY,1.2,,01/01/2004,,
82501,WY,2.0,,10/15/2008,,
82523,WY,1.9,,01/15/2007,,
82901,WY,0.51,,01/25/2001,,
82935,WY,0.02,,01/23/2006,,
82520,WY,0.495,,05/20/2006,,
82601,WY,0.16,,01/15/2004,,
82839,WY,0.875,,08/01/2009,,
82520,WY,3.3,,01/15/2007,,
82501,WY,0.24,,02/23/2007,,
82001,WY,0.6,,04/12/2003,,
83101,WY,0.125,,06/03/2006,,
82070,WY,0.66,,08/15/2009,,
83001,WY,1.4,,10/12/1999,,
82053,WY,1.0,,01/01/2005,,
82520,WY,2.5,,01/15/2002,,
82925,WY,0.8,,08/09/2009,,
82501,WY,0.51,,10/01/1999,,
82009,WY,1.36,,07/07/2007,,
82083,WY,0.22,,10/21/2007,,
82520,WY,3.006,,06/07/2008,,
83001,WY,0.204,,08/23/1996,,
82520,WY,2.88,,07/07/2008,,
82601,WY,0.24,,01/15/2004,,
82520,WY,0.56,,04/23/2002,,
82514,WY,0.125,,04/14/2005,,
82901,WY,0.72,,02/02/2000,,
82633,WY,3.15,23678.88,06/08/2010,,
82201,WY,0.48,,12/12/2005,,
83001,WY,1.9,,07/15/2008,,
82520,WY,0.432,,08/07/2009,,
82201,WY,1.1,,05/05/2007,,
82336,WY,0.11,,06/15/2007,,
83014,WY,1.155,,01/23/2006,,
82201,WY,0.72,,03/04/2005,,
82435,WY,0.492,,01/15/2008,,
82633,WY,0.416,,08/10/2009,,
82001,WY,0.7,,08/23/2009,,
82901,WY,0.96,,05/05/2005,,
82935,WY,0.96,,07/16/2008,,
82520,WY,0.7,,05/02/2003,,
82070,WY,0.96,,01/15/2003,,
82520,WY,0.668,,02/03/2004,,
83001,WY,0.96,,02/03/2004,,
82520,WY,2.3,,07/25/2008,,
82431,WY,0.06,,01/15/1996,,
83011,WY,0.48,,01/15/2006,,
82901,WY,0.32,,01/15/2005,,
82072,WY,0.33,,04/01/2006,,
82901,WY,0.7,,01/15/2007,,
82070,WY,1,10000,10/16/2009,,
82520,WY,0.28,,06/14/2003,,
82901,WY,0.9,,06/06/2002,,
82443,WY,0.612,,01/15/2006,,
82730,WY,0.35,,05/12/2009,,
82523,WY,3.0,,02/23/2008,,
83001,WY,0.948,,01/05/2005,,
83014,WY,1.8,,10/23/2005,,
82649,WY,0.24,,07/23/1999,,
83001,WY,2.2,,08/15/2009,,
82201,WY,0.12,,07/08/2008,,
82009,WY,2.1,,07/12/2008,,
82009,WY,0.78,,01/07/2008,,
82601,WY,0.36,,01/01/2005,,
82604,WY,4.2,33600,05/25/2010,,
83014,WY,1.1,,01/07/2008,,
82520,WY,0.48,,01/15/2005,,
82633,WY,0.64,,01/15/2002,,
82443,WY,0.41,4755.53,04/16/2010,,
82070,WY,1,16400,10/16/2009,,
82520,WY,1.52,,07/12/2008,,
82501,WY,0.35,,10/21/2006,,
82520,WY,1.16,,04/21/2003,,
82833,WY,0.6,,12/14/2006,,
83014,WY,1.04,,01/02/2008,,
82520,WY,0.414,,01/01/2001,,
82620,WY,2.5,,11/02/2007,,
82510,WY,1.02,,01/01/2007,,
82520,WY,1.1,,07/06/2006,,
82901,WY,1.75,,07/12/2008,,
82731,WY,1.336,,01/15/2005,,
82084,WY,0.38,,07/12/1997,,
82601,WY,0.48,,10/21/2006,,
82401,WY,1.11,,06/01/2007,,
82731,WY,0.12,,01/01/2005,,
83127,WY,0.17,,01/15/2006,,
82901,WY,0.24,,05/23/2001,,
82834,WY,0.4,,01/15/2007,,
82053,WY,1.264,,01/05/2004,,
